branch_id	stable_identity	owned_exact_axes	conditional_axes	path_holonomy_axes	member_dependent_axes	open_axes	insufficient_axes	type_inapplicable_axes	complete_descent_selector
R01	FC01_BOUNDARY_BOUNDARY	0	0	0	0	0	10	0	NO
R02	FC02_ONE_CAP_BOUNDARY	0	0	0	0	0	10	0	NO
R03	FC03_TWO_CAP_P0	0	0	0	0	0	10	0	NO
R04	FC04_TWO_CAP_P1	0	0	0	9	0	1	0	NO
R05	FC05_TWO_CAP_P_GT1	0	0	0	0	0	10	0	NO
R06	FC06_NONPRIMITIVE_CAP	0	0	0	0	0	0	10	NO
R07	FC07_PERIODIC_TORUS_BUNDLE	0	0	0	0	0	10	0	NO
R08	FC08_MIRROR_DOUBLE	0	0	0	0	0	10	0	NO
R09	FC09_NONORIENTABLE_GLUE	0	0	0	0	0	10	0	NO
R10	FC10_STRATIFIED_PROJECTOR	0	0	0	0	0	10	0	NO
R11	FC11_NONINTEGRABLE_DISTRIBUTION	0	0	0	0	0	10	0	NO
R12	FC12_RECIPROCAL_TORIC_DIAGONAL	0	0	0	0	0	10	0	NO
R13	Q01_ROUND_S3_B19	1	4	1	0	4	0	0	NO
R14	Q02_SQUASHED_S3_OFF_SHELL	1	4	1	0	4	0	0	NO
R15	Q03_WRL_LOCAL	0	2	0	0	0	0	8	NO
R16	Q04_PHYSICAL_XMAX_JOIN	0	0	0	0	0	0	10	NO
R17	W01_TWISTED_RECIPROCAL_S3	4	1	3	0	2	0	0	NO
R18	W02_STATIC_GENERIC_LAPSE_ROUND_S3	5	0	0	0	4	0	1	NO
R19	W03_ULTRASTATIC_S3	1	0	3	0	6	0	0	NO
R20	W04_MULTIPLE_KILLING_CONTROL	1	1	0	3	5	0	0	NO
R21	W05_CAUSAL_SLICE_BOUNDARY	0	0	0	0	0	0	10	NO
R22	W06_TWIST_FREE_NONCONSTANT_CLOCK	1	2	0	0	6	0	1	NO
R23	GENERAL_SCREEN_S3_REGULAR_FAMILY	1	1	3	0	5	0	0	NO
R24	TORIC_DUAL_SYSTOLE_SET_VALUED_FAMILY	1	0	3	2	0	0	4	NO
