id	premise	entry_status	audit_treatment
P01	founded reciprocal phi and complete metric/coframe arena	DERIVED_AS_TYPED_BACKGROUND	carried; no dynamics inferred
P02	C2/Bach pre-scale bulk	UNIQUE_CONDITIONAL_INACTIVE_WITHOUT_STRONG_CSN	counterfactual compatibility audit only; not active candidate
P03	EH post-scale bulk	CONDITIONAL	tested only as registered conditional route
P04	two-stage bridge	OPEN	not assumed
P05	P4 response	CONDITIONAL	exact target; not promoted
P06	F01 local joint index on four domains	DERIVED_IN_EXACT_CONDITIONAL_SCOPE	carried
P07	second wall germ	OPEN	ownership is the tested join
P08	bootstrap representative selection	WORKING_POSIT_WITHOUT_OPERATION	not assumed
P09	carrier/source	POSIT_OR_OPEN	not used
P10	PONDER global-local closure interpretation	WORKING_LEAD_ONLY	never affirmative authority
P11	pre-July-1 material	FAILURE_OR_COUNTEREXAMPLE_ONLY	not used affirmatively
