premise_id	object	provenance	treatment
P01	reciprocal_c_coequal_conversion	FOUNDING_EXACT_SOURCE	value_level
P02	dual_contragredient_reciprocity	FOUNDING_EXACT_SOURCE	value_level_pairing
P03	regular_additive_composition	POSIT_WITH_REGULARITY	group_character_only
P04	realized_nontrivial_dilation	OBSERVED	some_nontriviality_not_nowhere_critical
P05	trivial_phi_zero_representation	MATHEMATICALLY_ALLOWED	retained
P06	common_scale_neutrality	FOUNDING_EXACT_SOURCE	no_gradient_selector
P07	static_odd_phi_seal_derivative_free	BINDING_SCOPED_CANON	zero_and_nonzero_normal_derivative_retained
P08	bootstrap	WORKING	on_shell_admissibility_no_operation
P09	global_nonzero_nonnull_dphi	FREE_AND_EXPLORED	candidate_conclusion_not_input
P10	action_eikonal_source_carrier_density_response	OPEN	not_imported
