premise_id	statement	status	use	forbidden_promotion
C01	The complete UDT metric is Lorentzian on the declared regular arena	DEFINED	causal-cone source	metric configuration called on-shell dynamics
C02	Co-presence is whole-solution co-membership semantics	WORKING	interpretive frame	instantaneous signalling or causal selector inferred
C03	Metric causal accessibility exists on a supplied time-oriented Lorentzian geometry	DERIVED	causal-order input	material propagation theorem inferred
C04	The founded reciprocal character acts on a supplied ordered depth	DERIVED	normalization	physical depth owner inferred
C05	A supplied calibrated pair metric uniquely yields phi_pair and conditional c_eff pair readout	DERIVED_CONDITIONAL	pair-cone input	universal physical c_eff inferred
C06	The complete angular shift and mixing orchestra modulates the supplied pair metric	DERIVED_STRUCTURAL	must remain live	pure diagonal block substituted
C07	c_E is an observed terminal calibration anchor	OBSERVED	coordinate calibration	pair family or dynamics selected by c_E
C08	X_max is the working observer-pair positive-depth asymptote	WORKING	asymptotic gate	wall value or profile inferred
C09	One coherent calibrated pair family yields exact dphi_pair and scalar telescoping	DERIVED_CONDITIONAL	composition input	physical family said to be selected
C10	R17 owns a conditional global pair-foliation/path skeleton	MIXED	global control only	R17 promoted to the physical universe
C11	Bootstrap mutual admissibility remains a working posit	WORKING	possible later global owner	used as a scalar optimizer or present equation
C12	Physical material response and signalling law remain open	OPEN	scope guard	coordinate null speed called a measured signal law
