claim	status	scope	remaining_open
three_G85_regular_families_have_distinct_seam_properties	DERIVED_EXACT	declared G85 complete-metric block	other complete blocks and smooth continuation continuum
all_three_preserve_authoritative_G75_cell	DERIVED_EXACT	196 profiles in each regular G85 family	physical authority beyond x_le_1
existing_regularity_and_SNe_gates_select_none	DERIVED_SOURCE_BOUNDED	frozen 21-source universe	future complete SNe query or native rule
Xmax_gate_distinguishes_realization_at_this_seam	DERIVED_TYPE_CLASSIFICATION	candidate seam only	physical seam-to-Xmax identification remains open
Xmax_gate_selects_one_family	OPEN_NOT_DERIVED	no owned seam identification or uniform-null requirement	physical observer-pair realization and frame theorem
observer_query_Reciprocity_and_copresence_select_one_family	OPEN_NOT_DERIVED	current conditional query and semantic sources	physical query and history owner
Cartan_or_Maurer_Cartan_selects_one_family	REFUTED_WITHIN_DECLARED_REGULAR_CHART	all smooth full-rank coframe movies	global nonidentity rule and singular strata
geodesic_completeness_distinguishes_families	OPEN_NOT_TESTED	G85 proves complete tensor regularity only	geodesic and causal completeness
owned_nonidentity_selectors_found	OBSERVED_ZERO	14 preregistered conditions in 21 frozen sources	future native history or global relation law
owned_family_exclusions_found	OBSERVED_ZERO	42 preregistered family-condition cells	future owned selector
primary_landing	INTERNALLY_VERIFIED_BOUNDED_LEAD	frozen G86 audit arena	fresh external semantic adversarial review
physical_completion_Xmax_R_or_CMB	OPEN_NOT_DERIVED	none	physical owner and downstream construction
