completion_id	topology_or_role	volume_channel	phase_channel	micro_geometry_channel	density_status	matter_closure
FC01_BOUNDARY_BOUNDARY	I_X_ORBIT	BOUNDARY_DATA_REQUIRED	PHYSICAL_PHASE_FRAMING_OPEN	PRESENT_AFTER_BRANCH_DATA	UNDEFINED_BEFORE_NATIVE_MASS_AND_PHYSICAL_VOLUME	NOT_SUPPLIED
FC02_ONE_CAP_BOUNDARY	SOLID_TORUS_WITH_BOUNDARY	ONE_CAP_ONE_BOUNDARY_VOLUME_CONDITIONAL	CAP_REGULARITY_PLUS_BOUNDARY_FRAMING	PRESENT_AFTER_BRANCH_DATA	UNDEFINED_BEFORE_NATIVE_MASS_AND_PHYSICAL_VOLUME	NOT_SUPPLIED
FC03_TWO_CAP_P0	S2_X_S1_OR_GENERAL_P0	CLOSED_VOLUME_AFTER_REPRESENTATIVE	DEPENDENT_CAP_CYCLES_BLOCK_UNIT_HOPF_CONTROL	PRESENT_AFTER_BRANCH_DATA	UNDEFINED_BEFORE_NATIVE_MASS_AND_PHYSICAL_VOLUME	NOT_SUPPLIED
FC04_TWO_CAP_P1	S3	CLOSED_VOLUME_AFTER_REPRESENTATIVE	EXACT_CONDITIONAL_SEED_WITH_SUPPLIED_GLOBAL_DATA	PRESENT_AFTER_BRANCH_DATA	UNDEFINED_BEFORE_NATIVE_MASS_AND_PHYSICAL_VOLUME	NOT_SUPPLIED
FC05_TWO_CAP_P_GT1	LENS_L_P_Q	LENS_VOLUME_AFTER_REPRESENTATIVE	CAP_LATTICE_AND_QUOTIENT_DEPENDENT	PRESENT_AFTER_BRANCH_DATA	UNDEFINED_BEFORE_NATIVE_MASS_AND_PHYSICAL_VOLUME	NOT_SUPPLIED
FC06_NONPRIMITIVE_CAP	SINGULAR_TORIC_OR_ORBIFOLD	SINGULAR_OR_ORBIFOLD_MEASURE_DEPENDENT	EXCEPTIONAL_STABILIZER_DATA_REQUIRED	PRESENT_AFTER_BRANCH_DATA	UNDEFINED_BEFORE_NATIVE_MASS_AND_PHYSICAL_VOLUME	NOT_SUPPLIED
FC07_PERIODIC_TORUS_BUNDLE	T2_BUNDLE_OVER_S1	PERIODIC_VOLUME_AFTER_MONODROMY_AND_REPRESENTATIVE	HOLONOMY_AND_GL2Z_DESCENT_DEPENDENT	PRESENT_AFTER_BRANCH_DATA	UNDEFINED_BEFORE_NATIVE_MASS_AND_PHYSICAL_VOLUME	NOT_SUPPLIED
FC08_MIRROR_DOUBLE	DOUBLE_OR_REFLECTION_QUOTIENT	DOUBLE_VOLUME_AFTER_LIFT_AND_REPRESENTATIVE	MIRROR_LIFT_DEPENDENT	PRESENT_AFTER_BRANCH_DATA	UNDEFINED_BEFORE_NATIVE_MASS_AND_PHYSICAL_VOLUME	NOT_SUPPLIED
FC09_NONORIENTABLE_GLUE	ORIENTATION_TWISTED	VOLUME_POSSIBLE_ORIENTATION_DATA_DEPENDENT	ORIENTATION_TWISTED	PRESENT_AFTER_BRANCH_DATA	UNDEFINED_BEFORE_NATIVE_MASS_AND_PHYSICAL_VOLUME	NOT_SUPPLIED
FC10_STRATIFIED_PROJECTOR	STRATIFIED_DISTRIBUTION	STRATUM_MEASURE_DEPENDENT	RANK_CHANGE_BLOCKS_UNIVERSAL_SECTION	PRESENT_AFTER_BRANCH_DATA	UNDEFINED_BEFORE_NATIVE_MASS_AND_PHYSICAL_VOLUME	NOT_SUPPLIED
FC11_NONINTEGRABLE_DISTRIBUTION	ANHOLONOMIC_PLANE_FIELD	ANHOLONOMIC_VOLUME_GEOMETRICALLY_POSSIBLE	NO_GLOBAL_TORIC_PHASE	PRESENT_AFTER_BRANCH_DATA	UNDEFINED_BEFORE_NATIVE_MASS_AND_PHYSICAL_VOLUME	NOT_SUPPLIED
FC12_RECIPROCAL_TORIC_DIAGONAL	CONDITIONAL_CONTROL_FAMILY	ENDPOINT_SUBCASE_DEPENDENT	ONLY_FC04_LIKE_SUBCASE_HAS_EXACT_SEED	PRESENT_AFTER_BRANCH_DATA	UNDEFINED_BEFORE_NATIVE_MASS_AND_PHYSICAL_VOLUME	NOT_SUPPLIED
