source_path	crosswalk_member_rows	represented_multiplicity	coverage_disposition	note
CURRENT_SCIENTIFIC_PREMISES.tsv	0	0	ZERO_DISTINCT_PROFILE_MEMBERS	premise_guard_registry_frozen_at_prereg_no_distinct_profile_member
udt_cmb_N02_radial_anchor_admissibility_2026-08-09/AUDIT_REPORT.md	0	0	ZERO_DISTINCT_PROFILE_MEMBERS	summary_source_members_resolved_through_exact_derivation_and_profile_table
udt_cmb_N02_radial_anchor_admissibility_2026-08-09/EXACT_DERIVATION.md	1	1	MAPPED_EXPLICIT_MEMBERS	see_SOURCE_CANDIDATE_CROSSWALK
udt_cmb_N02_radial_anchor_admissibility_2026-08-09/PROFILE_STRATA.tsv	45	234	MAPPED_EXPLICIT_MEMBERS	see_SOURCE_CANDIDATE_CROSSWALK
udt_cmb_N02_radial_anchor_admissibility_2026-08-09/ENDPOINT_OWNERSHIP.tsv	0	0	ZERO_DISTINCT_PROFILE_MEMBERS	endpoint_domain_records_no_additional_profile_family
udt_cmb_N01_C1_harmonic_coupling_matrix_atlas_2026-08-09/AUDIT_REPORT.md	0	0	ZERO_DISTINCT_PROFILE_MEMBERS	summary_source_members_resolved_through_N01_exact_derivation
udt_cmb_N01_C1_harmonic_coupling_matrix_atlas_2026-08-09/EXACT_DERIVATION.md	2	2	MAPPED_EXPLICIT_MEMBERS	see_SOURCE_CANDIDATE_CROSSWALK
udt_cmb_complete_angular_mode_ownership_2026-08-09/AUDIT_REPORT.md	0	0	ZERO_DISTINCT_PROFILE_MEMBERS	mode_ownership_correction_no_additional_profile_family
udt_cmb_complete_angular_family_atlas_map_2026-08-09/AUDIT_REPORT.md	18	18	MAPPED_EXPLICIT_MEMBERS	see_SOURCE_CANDIDATE_CROSSWALK
udt_complete_pair_phi_orchestra_audit_2026-08-05/AUDIT_REPORT.md	3	3	MAPPED_EXPLICIT_MEMBERS	see_SOURCE_CANDIDATE_CROSSWALK
udt_complete_pair_phi_orchestra_audit_2026-08-05/EXACT_DERIVATION.md	2	2	MAPPED_EXPLICIT_MEMBERS	see_SOURCE_CANDIDATE_CROSSWALK
udt_ceff_depth_orchestra_integration_2026-08-06.md	2	2	MAPPED_EXPLICIT_MEMBERS	see_SOURCE_CANDIDATE_CROSSWALK
udt_xmax_asymptotic_limit_frame_correction_2026-08-05/STATUS_AND_WORKFLOW.md	1	1	MAPPED_EXPLICIT_MEMBERS	see_SOURCE_CANDIDATE_CROSSWALK
udt_roadA_RA1_muon_modes_2026-08-08/DERIVATION_NOTES.md	1	1	MAPPED_EXPLICIT_MEMBERS	see_SOURCE_CANDIDATE_CROSSWALK
udt_fd1_corrected_full_spectral_atlas_2026-08-09/FINAL_REPORT.md	0	0	ZERO_DISTINCT_PROFILE_MEMBERS	spectral_result_conditioned_on_already_crosswalked_profile_families
udt_xmax_scale_observational_M1_recon_2026-08-07/RECON_REPORT.md	0	0	ZERO_DISTINCT_PROFILE_MEMBERS	observational_reconstruction_control_no_metric_profile_candidate
