object	status	evidence	open_scope
intrinsic_clock_line_C01_to_C06	DERIVED_PARENT_BOUNDED	parent invariant gradients	physical/on-shell selection
intrinsic_ruler_line_C01_to_C06	DERIVED_PARENT_BOUNDED	Killing twist	ordered sign
intrinsic_rank_two_screen_C01_to_C06	DERIVED_EXACT	projector algebra	orientation and optical identity
local_screen_area_response	DERIVED_EXACT	d(theta2 wedge theta3)=2lambda dphi wedge area	physical lambda
founding_depth_equals_log_Q	DERIVED_BRANCH_SPECIFIC_STATIONARY	Killing norm and conserved energy	arbitrary observer/path semantics
same_metric_clock_plus_Jacobi_cocycle	DERIVED_REDUCIBLE_GIVEN_SUPPLIED_PATH	S(logQ) direct sum M	irreducible solder and path selection
intrinsic_ruler_null_congruence	NOT_GLOBALLY_ALIGNED_FOR_NONTRIVIAL_PHI	Cartan acceleration plus contact bracket	individual paths and other topologies
clock_angular_connection_mixing	DERIVED_SOMEWHERE_FOR_NONCONSTANT_STATIONARY_PHI_TWISTED_S3	global alignment implies dphi=0	physical dynamics or force interpretation
raw_local_screen_area_as_WRL_optical_area	REJECTED_IN_FROZEN_FAMILY	zero-value and derivative contradiction	full Jacobi boundary problem
lambda_minus_two_SNe_relation	LEAD_ALGEBRAIC_COMPLEMENT_ONLY	WRL 1-exp(-2phi)	no selection or fit
SNe_result	OBSERVED_REGISTERED_CONDITIONAL_NEAR_DATA_UNCHANGED	preserved readout audit	complete UDT prediction
copresence	WORKING_INTERPRETIVE_FRAME	carried premise	operational consequence
metric_causal_structure	DERIVED_CONDITIONAL	Lorentzian metric	matter signal law
instantaneous_operational_access	NOT_DERIVED	authority boundary	complete response law
complete_whole_solution_law	OPEN	authority boundary	action/bootstrap closure
path_event_endpoint_semantics	OPEN_NOT_SELECTED	founding semantics audit	physical comparison rule
lambda_profile_twist_topology	CHOSE_FREE_BOUNDED_CONFIGURATION	candidate universe	physical selection
action_source_carrier_boundary_density_bootstrap_mass_Xmax_dynamics	OPEN_OR_CONDITIONAL_UNCHANGED	authority boundary	complete physics
