result	load_bearing_classes	native_or_conditional_content	nonload_bearing_or_open	g197_finding
G166	FOUNDING_DERIVED+QUERY_SUPPLIED	founded determinant-one pair block and algebraic ratios on supplied depth	general 3+1 history profile X_max transfer source	bounded native algebra; static-spherical completion remains declared
G167	PRIMARY_METRIC_DERIVED+QUERY_SUPPLIED+STANDARD_GEOMETRIC_EVALUATOR	full pullback and angular Gram in declared spherical slice	physical germ general ambient metric	retain; repair B,Q,S=0 wording on startup only
G168	PRIMARY_METRIC_DERIVED+QUERY_SUPPLIED	orthogonal ruler and Y,Z from supplied clock/separation germ	germ ownership and population	retain supplied-germ ceiling
G169	QUERY_SUPPLIED+CHOSE_EXPLORATION_FAMILY	two-ended reversal quotient controls	physical distance and reverse-germ carry	non-load-bearing after G170; historical control
G170	PRIMARY_METRIC_DERIVED+QUERY_SUPPLIED	endpoint ratio difference and same-pair reversal	cross-query calibration carry	retain one-calibration-class ceiling
G171	PRIMARY_METRIC_DERIVED+QUERY_SUPPLIED	pair-relative network and matched telescoping	forced arbitrary triangles and observer-only potential	retain; no scaffolded carry required
G172	PRIMARY_METRIC_DERIVED+QUERY_SUPPLIED+CHOSE_EXPLORATION_FAMILY	monotone-areal smooth-family control	profile and physical family	retain as bounded control; old phi terminology regraded
G173	PRIMARY_METRIC_DERIVED+QUERY_SUPPLIED+CHOSE_EXPLORATION_FAMILY	turning-chart and calibration atlas	physical ruler choice and history	metric alone stops at atlas before G176
G174	PRIMARY_METRIC_DERIVED+QUERY_SUPPLIED	fixed calibrated germ gives unique scalar chart	bare-line calibration choice	retain typing theorem
G175	PRIMARY_METRIC_DERIVED+QUERY_SUPPLIED	constant-unit equivalence on supplied family	cross-family tape carry	retain control ceiling
G176	WORKING_FOUNDATIONAL_CLARIFICATION+QUERY_SUPPLIED	completed-pair condition selects m=sqrt(-det h) and Phi=-log T	event germ global realization and canon	sole load-bearing non-metric selection premise; must not be called derived
G177	HISTORICAL_SCAFFOLD_INACTIVE	dependency ledger and deletion tests	G142-G160 X_max fit transfer action source	confirms scaffold subtraction
G178	STANDARD_GEOMETRIC_EVALUATOR	external reconstruction of G176-G177 bounded algebra	broader realization	confirms no hidden scalar dependency
G179	WORKING_FOUNDATIONAL_CLARIFICATION+QUERY_SUPPLIED+STANDARD_GEOMETRIC_EVALUATOR	arbitrary supplied coframe/germ pullback covariance and completed readout	physical arbitrary-coframe history	formal evaluator only; not history selection
G180	WORKING_FOUNDATIONAL_CLARIFICATION+QUERY_SUPPLIED+STANDARD_GEOMETRIC_EVALUATOR	smooth family tape integration and descent	profile family and singular/global completion	retain supplied-family scope
G181	WORKING_FOUNDATIONAL_CLARIFICATION+QUERY_SUPPLIED+STANDARD_GEOMETRIC_EVALUATOR	one-sided endpoint and removable-stall classification	two-sided carry and physical selection	retain bounded endpoint taxonomy
G182	WORKING_FOUNDATIONAL_CLARIFICATION+QUERY_SUPPLIED+STANDARD_GEOMETRIC_EVALUATOR	two-sided metric and immersion-jet matching	event/history selection	retain supplied seam-carry scope
G183	QUERY_SUPPLIED+STANDARD_GEOMETRIC_EVALUATOR	degenerate and regular multibranch output typing	physical branch selection	retain branch-labelled conclusion
G184	WORKING_FOUNDATIONAL_CLARIFICATION+QUERY_SUPPLIED+STANDARD_GEOMETRIC_EVALUATOR	typed realization quotient and kernel descent	physical symmetry group and branch	retain; summaries are incomplete invariants
G185	PRIMARY_METRIC_DERIVED+QUERY_SUPPLIED+IMPORTED_CONDITIONAL+HISTORICAL_SCAFFOLD_INACTIVE	radial pair Gram and areal sky response	transfer P1 history native luminosity	non-regression application only
G186	PRIMARY_METRIC_DERIVED+QUERY_SUPPLIED+STANDARD_GEOMETRIC_EVALUATOR	nonradial local channel allocation	population finite propagation global metric	retain coefficient-free local split
G187	PRIMARY_METRIC_DERIVED+QUERY_SUPPLIED+STANDARD_GEOMETRIC_EVALUATOR	finite static-spherical Jacobi modes	emission population other metrics	G151 ancestry is typing context only
G188	QUERY_SUPPLIED+CHOSE_EXPLORATION_FAMILY+STANDARD_GEOMETRIC_EVALUATOR	general quotient-screen Jacobi evaluator and one mixing witness	physical metric history query population transfer	retain general evaluator; witness is mathematical
G189	PRIMARY_METRIC_DERIVED+QUERY_SUPPLIED+STANDARD_GEOMETRIC_EVALUATOR+IMPORTED_CONDITIONAL+CHOSE_EXPLORATION_FAMILY	conditional static metric-to-flux factorization	P1 transfer and rejected R=R0 chi control	application boundary; not kernel ancestry
G190	WORKING_FOUNDATIONAL_CLARIFICATION+QUERY_SUPPLIED+CHOSE_EXPLORATION_FAMILY+STANDARD_GEOMETRIC_EVALUATOR	parametric frequency-screen branch and local d_A(Z) descent	physical history endpoint intersection transfer	G116/G189 are post-result controls; numerical Jacobi leg regraded formula-level
G191	WORKING_FOUNDATIONAL_CLARIFICATION+QUERY_SUPPLIED+CHOSE_EXPLORATION_FAMILY+STANDARD_GEOMETRIC_EVALUATOR	one exact nonconformal time-live mixing witness	physical family population transfer	independent numerical tide is formula-supplied; theorem remains exact
G192	WORKING_FOUNDATIONAL_CLARIFICATION+QUERY_SUPPLIED+CHOSE_EXPLORATION_FAMILY+STANDARD_GEOMETRIC_EVALUATOR	arbitrary a,mu in displayed family and exact factorization	general coframes physical functions	independent interval leg is formula-level; family proof retained
G193	WORKING_FOUNDATIONAL_CLARIFICATION+QUERY_SUPPLIED+CHOSE_EXPLORATION_FAMILY+STANDARD_GEOMETRIC_EVALUATOR	noncommuting symmetric extension and Gram proof	rotation general coframes history	accurate metric-spotcheck versus formula-IVP description
G194	WORKING_FOUNDATIONAL_CLARIFICATION+QUERY_SUPPLIED+CHOSE_EXPLORATION_FAMILY+STANDARD_GEOMETRIC_EVALUATOR	arbitrary symmetric 2x2 tile and Gram proof	antisymmetric/general coframes/history	accurate bounded provenance
G195	WORKING_FOUNDATIONAL_CLARIFICATION+QUERY_SUPPLIED+CHOSE_EXPLORATION_FAMILY+STANDARD_GEOMETRIC_EVALUATOR	arbitrary real 2x2 time-dependent tile and rotation carry	spatial dependence other germs physical functions	accurate bounded provenance
G196	WORKING_FOUNDATIONAL_CLARIFICATION+QUERY_SUPPLIED+CHOSE_EXPLORATION_FAMILY+STANDARD_GEOMETRIC_EVALUATOR	longitudinal D_plus descent factorization and Gram proof	off-ray reconstruction other germs histories transfer X_max	accurate independent metric-side versus formula-IVP distinction
