id	object	status	exact_scope_or_premises	what_is_established	what_is_not_claimed	next_falsifier_or_closure
O01	Reciprocal determinant-one comparison uv=1	DERIVED	Faithful dual-pairing formalization in current C1	Internal comparison is determinant one	Not a spacetime scalar constraint or complete metric	Derive spacetime realization of paired directions
O02	Reciprocal exponential comparison	DERIVED_CONDITIONAL	Positive additive depth; composition; reversal; regularity; chosen sign/unit	Comparison is diag(exp(-phi);exp(phi))	No action; profile; representative; global coframe	Native spacetime realization and dynamics
O03	Lorentzian reciprocal block	CONDITIONAL	Chosen quadratic readout; CSN representative; slot assignment	Displays a reciprocal component block in an adapted representative	Not full metric; not CSN invariant; not universal off shell	Derive readout; slots; representative
O04	Raw component product a*b=1	NOT_A_SCALAR	Adapted block without carrying its frame	Transforms as a*b/(alpha^2 beta^2) under independent chart rescaling	No rejection of a derived preferred frame	Native frame/chart theorem
O05	Common scale sigma=log(a*b)/4	GAUGE_CALIBRATION	Paired frame and founding pre-scale CSN	CSN shifts sigma; a*b=1 fixes sigma=0	No physical scale equation or post-scale claim	Representative-selection rule
O06	Reciprocal depth phi=log(b/a)/4	DERIVED_CONDITIONAL_READOUT	Paired time/parallel slots and positive block	Phi is invariant under common local scale	No derived global field/slot realization	Native paired spacetime structure
O07	L0 local order-zero metric-only C[g]	REFUTED_IN_CLASS	One Lorentz metric; fixed dimension/signature; pointwise algebra; diffeomorphism naturality	GL(4) transitivity makes every such scalar constant	No theorem about derivatives; nonlocality; boundary; extra fields	Nonconstant natural scalar counterexample or scope enlargement
O08	sqrt(abs(det g)) as constraint scalar	REFUTED_AS_SCALAR	No reference volume form	It is a density and an equality needs background structure	No rejection of derived/global volume form	Derive reference/dynamical volume structure
O09	L2 covariant C[g;T;N]	OPEN_EXTRA_STRUCTURE_NOT_DERIVED	Explicit paired vector/coframe fields and their laws	Norms are scalars and depth ratio is CSN invariant	Not metric-only; no native fields/weights/normalization	Derive fields and finite-cell extension
O10	Normalized paired frame product	TAUTOLOGICAL_READOUT	T and N normalized by definition	Unit product follows from normalization	No physical constraint or reaction	Independent dynamical content if claimed
O11	Gauge multiplier lambda*sigma	ALLOWED_BOOKKEEPING	CSN-invariant pre-scale action independent of sigma	Full variation gives sigma=0 and lambda=0; depth equation unchanged	No complete gauge/boundary equivalence theorem	Selected action and finite-cell gauge completion
O12	Physical multiplier reaction for reciprocal product	NOT_DERIVED	Current foundation supplies no physical C[g]	Nonzero reaction in the tested anchor requires inserted sigma dependence	No universal rejection of post-scale constraints	Derive physical representative and constraint action
O13	Hard sigma=0 restriction	GAUGE_READOUT_CONDITIONAL	Exact pre-scale CSN quotient in the anchor	Same phi equation as quotient/readout	No generic early-restriction equivalence for an unknown action	Weyl Ward identity and boundary theorem for selected action
O14	Curvature-scalar replacement	REFUTED_AS_EQUIVALENT_SHORTCUT	Flat metrics in rescaled Cartesian charts	Same zero curvature occurs with unit and nonunit raw products	No exclusion of all derivative metric dynamics	Two-way invariant depth law with branch audit
O15	L3 derivative metric-only route	OPEN	Derivative natural scalars; inventory and action unspecified	Curvature shortcut does not close it	No derivative no-go or selected law	Native derivative selector and complete equations
O16	L4 finite-cell/global selector	OPEN_NOT_SUPPLIED	Current mirror and static phi parity only	Seal does not supply bulk paired plane; normalization; representative	No rejection of nonlocal/global emergence	Construct covariant global selection/extension theorem
O17	Bulk diffeomorphism covariance	RETAIN_TRIAL_CONDITIONAL	Used to classify L0 natural scalars	No contradiction found; exposes chart dependence	Not derived and full finite-cell group open	Native covariance or preferred-structure theorem
O18	Metric-only off-shell closure	NOT_DERIVED	Current C0/C1 plus L0 theorem	The requested algebraic constraint cannot supply closure	No exclusion of metric-only derivative/nonlocal action	Native configuration-space rule
O19	Auxiliary field or multiplier requirement	NOT_DERIVED	Failure of L0 is not a positive field derivation	No current premise forces coframe; vector; scalar; multiplier	No statement that auxiliaries are forbidden	Derive field census from foundation
O20	Current role of Reciprocity	DERIVED_KINEMATIC_WITH_CONDITIONAL_READOUT	Current founding/derived hierarchy plus T2-T8	Reciprocal comparison and invariant depth are kinematic; metric product is gauge/readout	Not permanently readout-only and not complete dynamics	Native spacetime pairing and variation rule
O21	Top-level selector result	NO_L0_CONSTRAINT_REPRESENTATIVE_IDENTITY_IS_GAUGE_READOUT	Preregistered L0-L4 route audit	L0 closed; L1 classified; L2-L4 retained open	No complete action; field selection; source; boundary; mass	Native paired-direction realization first
O22	Complete action; source; finite-cell charge	OPEN	Final A/B/C ledger unchanged	No downstream open status is strengthened	No action; carrier; density normalization; GPU result	Complete native construction
