id	object	inputs	derived_status	not_implied
C01	finite_frame_composition	g_at_one_event;ordered_frames	DERIVED_LOCAL	spacetime_curvature
C02	Wigner_screen_rotation	two_noncollinear_frame_changes	DERIVED_LOCAL	force_or_congruence_twist
C03	timelike_dphi_observer_line	g;dphi_timelike_nonzero;time_orientation	DERIVED_CONDITIONAL	global_persistence
C04	timelike_dphi_rest_screen	ker_dphi_with_positive_conformal_metric	DERIVED_CONDITIONAL	round_S2_carrier
C05	timelike_dphi_SO3_reduction	smooth_timelike_nonzero_dphi	DERIVED_CONDITIONAL	connection_values
C06	projected_SO3_connection	Levi_Civita_connection;SO3_reduction	AVAILABLE_CONDITIONAL	parallel_preservation
C07	reduction_preservation	nabla_P_equals_zero	REQUIRES_EXTRA_CONDITION	current_metric_foundation_does_not_force
C08	dphi_congruence_vorticity	n_equals_f_dphi	ZERO_BY_FROBENIUS	screen_rotation_zero
C09	projected_connection_curvature	derivatives_of_metric_and_dphi	OPEN_NOT_COMPUTED	pointwise_group_rotation
C10	spacetime_Levi_Civita_holonomy	complete_metric_branch;loops;representative	OPEN_NOT_COMPUTED	local_Wigner_rotation
C11	velocity_hyperboloid_connection	observer_space_section_or_path	AVAILABLE_KINEMATIC	spacetime_connection
C12	physical_angular_connection	selection_and_dynamics	OPEN	no_promotion
