id	claim	status	exact_scope	remaining_open_scope
S01	Repeated lapse/shift/angular rigidity characterizes the smooth compact conformally-flat conditional C2 corner	DERIVED_SYNTHESIS	three verified bounded audits	unrestricted UDT metric/action/domain
S02	Repeated rigidity is UDT-wide rigidity	REFUTED_OVERCLAIM	conditional action domain and compact branch	complete geometry remains open
S03	A complete nonlinear stationary solve is still needed for branch completeness	OPEN_HIGH_COST	conditional cohomogeneity-one C2 family	physical boundary should be explicit first
S04	Any nonlinear Bach solution retains a CSN conformal orbit without boundary/source breaking	DERIVED_CONDITIONAL	4D C2 Bach covariance	complete boundary may reduce orbit
S05	A nonlinear solution can derive the authority of the action that produced it	REFUTED_LOGICALLY	action-versus-solution distinction	native action selector remains open
S06	Boundary variation can expose mathematical flux and conjugate data	DERIVED_GENERAL_FOURTH_ORDER	conditional C2 finite-interval problem	exact full metric boundary algebra not yet run
S07	Boundary variation alone chooses the physical UDT boundary condition	REFUTED_AS_SUFFICIENT	fourth-order countermodel and current selector ledger	new native selector required
S08	The current finite wall/endpoints select the local CSN representative	REFUTED_IN_BOUNDED_ORBIT	accepted endpoint-flat counterfamily	future complete boundary/source closure
S09	Current on-shell bootstrap selects an absolute scale	REFUTED_AS_SUFFICIENT	dimensionless homothety orbit	off-shell scale-bearing closure absent
S10	c and G are observational anchors	OBSERVED_ANCHORS	owner clarification	anchors do not supply source or field equation
S11	c and G alone determine total mass and Xmax	NOT_DERIVED	native mass structure absent	source/volume/bootstrap equation required
S12	Immediate C2/EH fork selector is placement of variation relative to scale selection	OPEN_IDENTIFIED_SELECTOR	accepted selector audit	no current rule answers it
S13	Executable two-stage bridge additionally needs an off-shell representative map and held-fixed global object	OPEN_IDENTIFIED_OBJECT	dependency graph	form/value cannot be invented
S14	Representative selection turns Bach dynamics into EH dynamics	REFUTED_LOGICALLY	different off-shell derivative orders	dynamical matching theorem required
S15	One selector closes complete action/source/boundary/scale	REFUTED_AS_CURRENT_DESCRIPTION	independent missing graph edges	no single closing selector found
S16	Physical C2 boundary variation is the next bounded information-producing derivation	RANKED_RECOMMENDATION	conditional route comparison	cannot choose physical data; will expose exact missing boundary selector
S17	Nonlinear stationary solve should precede boundary-domain clarification	NOT_RECOMMENDED	branch results depend on domain	may follow boundary audit
S18	Further variation-domain algebra can proceed from unchanged current premises	BLOCKED_NO_NEW_INPUT	prior selector audits already complete	needs genuinely new native premise/evidence from metric closure
S19	Electron mass should be inserted now	FALSE_EXCLUDED	dimensionless closure incomplete	future calibration only
S20	Complete native action/source/boundary charge/mass	OPEN	unchanged final adjudication	full closure required
S21	Three-route zoom-out result	VERIFIED_WITH_CAVEATS	preregistered exact dependency/homogeneity/countermodel audit; no fresh external review	not a physics canon or action derivation
