object	status	claim	scope_or_owner
terminal_pair_depth	DERIVED_ON_SUPPLIED_PAIR	phi_pair_from_complete_pullback	complete_B_Q_S_Y_Z_pair_evaluator
working_pair_position	CHOSE_AND_DERIVED_DOWNSTREAM	rho_equals_X_tanh_phi_pair	G137_regular_pair
strict_compositional_leaf_scale	CONDITIONAL_TYPE_PROPERTY_NOT_DERIVED_OWNER	X_equals_X_star_if_one_scale_dimensionful_Mobius_leaf_is_supplied	extra_fixed_scale_law_not_owned_by_normalized_G136_G137_G139
cross_leaf_scale_equality	OPEN	distinct_leaves_may_retain_distinct_X_star	global_relation_family_not_selected
live_dX_on_conditionally_fixed_leaf	INCOMPATIBLE_WITH_SUPPLIED_FIXED_SCALE_TYPE	d_leaf_X_equals_zero_only_after_extra_type_premise	strict_one_scale_dimensionful_composition_only
live_dX_general	OPEN_AND_RETAINED	G153_product_rule_term_may_be_intrinsic_or_transverse	general_supplied_pair_family
zero_order_saturation	DERIVED_CONDITIONALLY	phi_to_signed_infinity_and_X_to_X_star_imply_rho_to_signed_X_star	asymptotic_curve
quiet_response	SURVIVES	V_rho_to_zero	exact_regular_interior_counterfamily
finite_live_response	SURVIVES	V_rho_to_nonzero_finite	exact_regular_interior_counterfamily
divergent_response	SURVIVES	absolute_V_rho_to_infinity	exact_regular_interior_counterfamily
nonconvergent_response	SURVIVES	V_rho_has_distinct_subsequential_limits	exact_regular_interior_counterfamily
common_scale	LIVE_RETAINED	controls_normalized_response_without_changing_phi_rho_or_X_star	same_profile_metric_counterfamily
quiet_termwise_inference	FALSE	A_plus_B_zero_does_not_force_A_and_B_zero	exact_live_X_cancellation
proper_length_history_value_completion	OPEN	not_derived	future_global_program
