premise_id	object	status	role_in_audit	prohibited_promotion
P01	Lorentz_signature	pinned-by-THEORY	defines_regular_ordered_pair_bundle	no_preferred_pair
P02	founded_reciprocal_character	DERIVED	defines_query_arrow_character	no_physical_depth_assignment
P03	observer_frame_reciprocity	DERIVED_EQUIVARIANCE	requires_natural_vertical_transformation	no_vertical_invariance_automatically
P04	metric_Levi_Civita_geometry	DEFINED_FROM_SUPPLIED_METRIC	ambient_connection_and_curvature_control	no_native_field_equation
P05	pair_frame_path_groupoid	DERIVED_CONDITIONAL_KINEMATICS	section_free_query_composition_control	no_bare_event_collapse
P06	query_bundle	DERIVED_CONTAINER_NO_SECTION	tautological_N_tilde_and_Q_tilde	no_realized_spacetime_field
P07	global_screen_metric_and_mixing_after_split	DERIVED_STANDARD_BUNDLE_FACT	tensor_bundle_controls	no_selected_h_or_sigma
P08	realized_reciprocal_field	OPEN	conditional_section_pullback_architecture	no_assumed_section_or_variation
P09	branch_derived_selector	BRANCH_LOCAL_CONDITIONAL	regular_stratum_architecture	no_universal_or_physical_branch
P10	collision_defect_rank_change	DERIVED_OR_RETAINED_OPEN_CONTROLS	forces_stratified_audit	no_deletion_by_genericity
P11	physical_phi_assignment	OPEN	keeps_phi_based_sections_conditional	no_profile_equation
P12	strong_local_CSN	CHALLENGED_INACTIVE	excluded	no_conformal_descent_rule
P13	c_E_and_G_obs	OBSERVED_ANCHORS	unit_calibration_only	no_section_or_measure
P14	bootstrap	WORKING_ON_SHELL_ADMISSIBILITY	downstream_slot_only	no_optimizer_or_selection
P15	S2_carrier	POSIT	downstream_conditional_control	no_carrier_backfill
P16	action_source_boundary	OPEN_OR_CONDITIONAL	excluded_as_selector	no_familiar_dynamics_import
P17	fiber_measure_or_weight	OPEN_NOT_SUPPLIED	negative_aggregation_control	no_Haar_average_or_normalization
P18	coframe_leg_labels	pinned-by-HABIT_IF_PHYSICALIZED	negative_control	no_section_from_presentation
