source	sha256	role
founding.md	4d0bd9708ad57598418d13961e41306badfc15e2446e7911074a64758bed6af2	CURRENT_METRIC_AND_FOUNDING_BOUNDARY
CURRENT_SCIENTIFIC_PREMISES.tsv	a7b372f2dce8dcd8beb01dcd828fc32dc84cd2212ceeb1bd370ce4c2583534e4	CURRENT_EXACT_PREMISE_AUTHORITY
udt_g270_completed_pair_transported_screen_ownership_2026-08-26/AUDIT_REPORT.md	167dd2299513f252f67795f4cdde63e3240bc6d5f0365e783dc4e39921c64a65	CURRENT_SCREEN_REALIZATION_BOUNDARY
udt_g271_primary_metric_null_screen_first_jet_interlock_2026-08-26/AUDIT_REPORT.md	df615d0b0812188d18372351decbb787b5c082b8d0ab09bf77339b29f8250af2	CURRENT_NULL_SCREEN_INTERLOCK
udt_g273_projective_pair_distance_foundational_ownership_2026-08-26/AUDIT_REPORT.md	1c7750f9b8a56e0d3d587eb6284d338846daf805c8fef7237f0d94ff86d9109a	CURRENT_PROJECTIVE_STATE_BOUNDARY
udt_g274_projective_pair_position_network_descent_2026-08-26/AUDIT_REPORT.md	551bb9492118f941e0f30b0905255b2e97f7cf9b5fa23ce1d5a179809d13dabb	CURRENT_FRAME_CARRY_BOUNDARY
udt_g279_native_kernel_observational_interface_provenance_audit_2026-08-27/AUDIT_REPORT.md	2c284cffa091b97f49c638fb729224084c29ac2b7509bcd640de2ca7b226e1ab	CURRENT_NATIVE_KERNEL_PROVENANCE
udt_g286_complete_germ_propagation_discriminator_2026-08-28/AUDIT_REPORT.md	58e994cca476085c0e5c878d1932a3e94f7b0190ca21456331d803c4bc23a8fe	CURRENT_HISTORY_NONSELECTION_CONTROL
udt_g288_smooth_center_micro_regime_jet_interlock_2026-08-28/AUDIT_REPORT.md	f7e1caf8e554ca6ab3765da498179a5428e28b2cfc45808034824f22ad87d6b4	CURRENT_PRIMARY_METRIC_CENTER_RESULT
native_hopfion_topology_audit_2026-07-19/AUDIT_REPORT.md	df0171eb83d75ad175727a8db541df8500b7826edf6059ae63a52f1a1ba15bea	CONDITIONAL_TOPOLOGY_COMPARISON_ONLY
native_hopfion_topology_audit_2026-07-19/TOPOLOGY_STATUS_LEDGER.tsv	de154fbb7787759864786c04186a26a4605c447d362112bb482acee064d457e4	CONDITIONAL_TOPOLOGY_STATUS_ONLY
udt_scientific_arc_recovery_checkpoint_2026-08-04/MASS_BRANCH_AUTHORITY_MAP.tsv	1483331ab0e00bc6f800589edaaf56fff7c670a75292e49a05adc9935a063bdf	CURRENT_MASS_LANE_AUTHORITY_MAP
stability_branch_follow_256_DECISION.md	9806bc8f61b94109080699f00d8a758f1afc935db18a11f07dbe7365a61811d5	DURABLE_STABILITY_LANE_EVIDENCE_ONLY
