principle_id	principle	registered_status	possible_role_to_test
P01	founded_reciprocal_metric	DERIVED_KINEMATICS	define_metric_primitives_and_covariance
P02	observer_frame_Reciprocity	FOUNDING_PINNED_BY_THEORY	equivariance_or_functional_selection
P03	finite_cell_structure	PINNED_BY_THEORY	domain_boundary_and_global_data
P04	static_scalar_seal_parity_and_value	PINNED_SCOPED	boundary_definition_or_response
P05	bootstrap_global_self_consistency	OWNER_STATED_WORKING	select_both_closure_arrows
P06	narrow_total_proper_density_window	OWNER_STATED_WORKING_ON_SHELL	observable_or_off_shell_response
P07	observed_c_E	OBSERVED_ANCHOR	units_and_scale_calibration
P08	observed_G_obs	OBSERVED_ANCHOR	units_and_mass_curvature_calibration
P09	strong_local_CSN	CHALLENGED_OPEN	remove_or_preserve_metric_ontology_fork
P10	complete_nonlinear_Cartan_geometry	DERIVED_SCOPED	local_geometric_response_data_or_physical_law
P11	conditional_Hopf_carrier_branch	POSIT_CONDITIONAL	matter_observable_or_comparison_only
P12	conditional_C2_EH_and_carrier_actions	CONDITIONAL	response_examples_or_native_selection
