object	status	scope	remaining_open
C1_complete_screen	CHOSE_CONDITIONAL_CONTROL	round_axis_regular_axial_representative	physical_screen_selection_and_global_completion
scalar_Box_g	CHOSE_DIAGNOSTIC	stationary_C1	UDT_native_probe_or_dynamics
C1_matrix_equation	DERIVED_CONDITIONAL	fixed_m_stationary_scalar_Galerkin_form	radial_profile_boundary_and_solution
W_radial_flux_matrix	DERIVED_CONDITIONAL	B_dependent_C1_basis	physical_B_of_r
M_frequency_matrix	DERIVED_CONDITIONAL	B_dependent_C1_basis	physical_B_of_r
K_plus_H_angular_matrix	DERIVED_CONDITIONAL	complete_C1_scalar_angular_operator	physical_B_of_r
fixed_abs_m	DERIVED_CONDITIONAL	C1_axial_U1	physical_complete_screen_may_break_U1
negative_m_sign	RETAINED	angular_matrices_share_abs_m_external_2h_omega_m_keeps_sign	population_and_response
north_south_parity	DERIVED_CONDITIONAL	C1_reflection_symmetry	physical_complete_screen_may_break_reflection
round_limit	DERIVED	B_zero_control	physical_nonzero_mixing_profile
first_order_bandwidth	DERIVED	B_derivative_at_zero_Delta_ell_0_2	finite_B_infinite_basis_amplitudes
finite_B_matrix_reach	OBSERVED_BOUNDED	B_grid_abs_m_0_3_ell_le_16_threshold_1e_minus_12	basis_limit_and_physical_profile
radial_matrix_solve	OPEN_NOT_AUTHORIZED	outside_N01	separate_preregistration_boundary_and_convergence
FD2_GPU_population_polarization	OPEN_NOT_AUTHORIZED	outside_N01	native_probe_source_state_and_physical_screen
