path	r0_classification	artifact_role_or_title	size_bytes	git_blob_oid	sha256	first_commit_date	last_commit_date	last_commit	last_commit_subject	inbound_occurrences	inbound_sources	frozen_inbound_sources	prohibited_dependency_edges	unresolved_path_touches	destination	disposition	rationale	corrected_inbound_occurrences	corrected_inbound_sources	corrected_frozen_inbound_sources	corrected_eligibility_recheck
A_pre_reconciliation_floored_glm.pt	UNKNOWN/BLOCKED	OPAQUE_TORCH_ARTIFACT	35545	33ea887ebb485b7f4eee12163ee15ff37269ab43	91724059d2831328d133ddaedbf10fc2b87667ec0cebd07b892ca97823f92dbe	2026-07-01	2026-07-01	78939836326cb822e22b2a72bfd8097365185aa6	Basin audit RAN (classify-only) + glm stronger step -> REDIRECT to derive e^{2phi} weight	1	1	-	0	0	-	RETAIN_R1A	Retain OPAQUE_TORCH_ARTIFACT; R0_UNKNOWN:OPAQUE_TORCH_ARTIFACT; NOT_MARKDOWN_TEXT_RECORD; FIRST_COMMIT_NOT_PRE_CUTOFF:2026-07-01	1	1	-	RETAIN_UNCHANGED
B_floored_glm.pt	UNKNOWN/BLOCKED	OPAQUE_TORCH_ARTIFACT	35386	e9c994c4cb72f96872d18171832f553b8d936ffe	41f569abad96a70bfbc51a76b706b03073a3a0ecb6879ce14e1897ce5e770a4b	2026-07-01	2026-07-01	78939836326cb822e22b2a72bfd8097365185aa6	Basin audit RAN (classify-only) + glm stronger step -> REDIRECT to derive e^{2phi} weight	1	1	-	0	0	-	RETAIN_R1A	Retain OPAQUE_TORCH_ARTIFACT; R0_UNKNOWN:OPAQUE_TORCH_ARTIFACT; NOT_MARKDOWN_TEXT_RECORD; FIRST_COMMIT_NOT_PRE_CUTOFF:2026-07-01	1	1	-	RETAIN_UNCHANGED
D1_FIX_DESIGN.md	ARCHIVE_CANDIDATE	> **MOVED 2026-07-06 → `archive/pre_native_coupled/D1_FIX_DESIGN.md` (pre-native-era census).**	281	15004b41cbc2d51fde874d6234d57702d0f9e709	57a4d86c84f5a042a9ff1ed739440e2648aafae6b5f962377e9c57481d78d964	2026-06-29	2026-07-06	a77d633023824250f8d97e865f774b5b49a2d7b5	Pre-native-era provenance census + organization (date-based, 2 adversarial passes).	39	8	seal_matching_junction_results.md	0	0	-	RETAIN_R1A	Retain > **MOVED 2026-07-06 → `archive/pre_native_coupled/D1_FIX_DESIGN.md` (pre-native-era census).**; FROZEN_INBOUND:seal_matching_junction_results.md	39	8	seal_matching_junction_results.md	RETAIN_UNCHANGED
EXTERNAL_AUDIT_2026-06-30.md	ARCHIVE_CANDIDATE	> **MOVED 2026-07-06 → `archive/pre_native_coupled/EXTERNAL_AUDIT_2026-06-30.md` (pre-native-era census).**	293	3a77b115b3893f755f71b3297a2ec6f2ce6a3bad	8e629e00770bd5e0cf0a02ccc8b1fe65e188eaa69198d324396401e04dcc8d05	2026-06-30	2026-07-06	a77d633023824250f8d97e865f774b5b49a2d7b5	Pre-native-era provenance census + organization (date-based, 2 adversarial passes).	15	4	-	0	0	archive/pre_2026-07-01/EXTERNAL_AUDIT_2026-06-30.md	MOVE_BATCH_1	Pre-cutoff superseded text record (> **MOVED 2026-07-06 → `archive/pre_native_coupled/EXTERNAL_AUDIT_2026-06-30.md` (pre-native-era census).**); no runtime, manifest, frozen-source, or unresolved-path dependency; non-frozen pointers are atomically rewritable.	15	4	-	PASS_UNCHANGED
F1F3_closure_results.md	ARCHIVE_CANDIDATE	F1 + F3 CLOSURE RECORD — tying off the gravity-action + a(phi)-coupling foundation	29212	28fb534bb51d54b0eac3f0642a6f0ae8eeac1a7b	f622623ca39958335584a61eb5b81a92fbb4e8527a36b899c60b7dacc8b8cd1a	2026-06-21	2026-07-06	744199216067fb434ee67c2ef65e570d1632cf8c	Supersession sweep: quarantine kap8 + re-grade the pre-native coupled-solver era.	22	5	-	0	0	archive/pre_2026-07-01/F1F3_closure_results.md	MOVE_BATCH_1	Pre-cutoff superseded text record (F1 + F3 CLOSURE RECORD — tying off the gravity-action + a(phi)-coupling foundation); no runtime, manifest, frozen-source, or unresolved-path dependency; non-frozen pointers are atomically rewritable.	22	5	-	PASS_UNCHANGED
P1P5_reaudit_vs_derived_operator_results.md	ARCHIVE_CANDIDATE	P1–P5 RE-AUDIT vs the Newly-Derived Operator — did the recent work affect any P-result?	20441	6e79b87dc5619c2f082678f91063f578a8e51ec7	118219cfe882a9dff689108e6cda5360933509301191af8557486ba4e9939293	2026-06-21	2026-07-06	744199216067fb434ee67c2ef65e570d1632cf8c	Supersession sweep: quarantine kap8 + re-grade the pre-native coupled-solver era.	23	4	-	0	0	archive/pre_2026-07-01/P1P5_reaudit_vs_derived_operator_results.md	MOVE_BATCH_1	Pre-cutoff superseded text record (P1–P5 RE-AUDIT vs the Newly-Derived Operator — did the recent work affect any P-result?); no runtime, manifest, frozen-source, or unresolved-path dependency; non-frozen pointers are atomically rewritable.	23	4	-	PASS_UNCHANGED
P5e_proper_results.md	ARCHIVE_CANDIDATE	P5e PROPER — the genuinely fully-coupled, multi-harmonic, free-omega, finite-amplitude, FULL off-diagonal time-row time-live solve on UDT's DERIVED operator — BOUNDED OBSERVE	25780	f4a54486b1896457ea8b26c9f6e0f1ca252a0251	05f274d757b3c2f7c0caccc330d611e022a57d8563bc98e4ebafaad928656e77	2026-06-21	2026-07-06	744199216067fb434ee67c2ef65e570d1632cf8c	Supersession sweep: quarantine kap8 + re-grade the pre-native coupled-solver era.	34	10	F8_metric_choices_results.md	0	0	-	RETAIN_R1A	Retain P5e PROPER — the genuinely fully-coupled, multi-harmonic, free-omega, finite-amplitude, FULL off-diagonal time-row time-live solve on UDT's DERIVED operator — BOUNDED OBSERVE; FROZEN_INBOUND:F8_metric_choices_results.md	34	10	F8_metric_choices_results.md	RETAIN_UNCHANGED
PROVENANCE_AUDIT_2026-06-30.md	ARCHIVE_CANDIDATE	> **MOVED 2026-07-06 → `archive/pre_native_coupled/PROVENANCE_AUDIT_2026-06-30.md` (pre-native-era census).**	295	1d3b8a059eb4da0ca57d604ae944ff0cd4b493a4	5cddf3bbe006e357ef95cc49defa3c60afc1f0ab675fa2c7e50c40299c173a46	2026-06-30	2026-07-06	a77d633023824250f8d97e865f774b5b49a2d7b5	Pre-native-era provenance census + organization (date-based, 2 adversarial passes).	27	5	-	0	0	archive/pre_2026-07-01/PROVENANCE_AUDIT_2026-06-30.md	MOVE_BATCH_1	Pre-cutoff superseded text record (> **MOVED 2026-07-06 → `archive/pre_native_coupled/PROVENANCE_AUDIT_2026-06-30.md` (pre-native-era census).**); no runtime, manifest, frozen-source, or unresolved-path dependency; non-frozen pointers are atomically rewritable.	28	6	-	PASS_UNCHANGED
SOLVER_AUDIT_2026-06-29.md	ARCHIVE_CANDIDATE	> **MOVED 2026-07-06 → `archive/pre_native_coupled/SOLVER_AUDIT_2026-06-29.md` (pre-native-era census).**	291	9f8c3cfa253b7c8b38a3c8a3b3ef55a3026dadf9	62353fe1da76eb795f36e36fabe6792a43420155447d0cc9e0797cfe6fbf2eb9	2026-06-29	2026-07-06	a77d633023824250f8d97e865f774b5b49a2d7b5	Pre-native-era provenance census + organization (date-based, 2 adversarial passes).	41	5	-	0	0	archive/pre_2026-07-01/SOLVER_AUDIT_2026-06-29.md	MOVE_BATCH_1	Pre-cutoff superseded text record (> **MOVED 2026-07-06 → `archive/pre_native_coupled/SOLVER_AUDIT_2026-06-29.md` (pre-native-era census).**); no runtime, manifest, frozen-source, or unresolved-path dependency; non-frozen pointers are atomically rewritable.	41	5	-	PASS_UNCHANGED
STEP2_timelive_matter_results.md	ARCHIVE_CANDIDATE	STEP 2 — TIME-LIVE COUPLED NATIVE-MATTER SOLVE on UDT's DERIVED operator — BOUNDED OBSERVE	23022	836e4b7576914c3fb192c92cf23ab44f0835a73f	267e394e1101f6c3a4058f1530513cc845d5625a455abe2f034ee729d7e87868	2026-06-21	2026-07-06	744199216067fb434ee67c2ef65e570d1632cf8c	Supersession sweep: quarantine kap8 + re-grade the pre-native coupled-solver era.	34	9	-	0	0	archive/pre_2026-07-01/STEP2_timelive_matter_results.md	MOVE_BATCH_1	Pre-cutoff superseded text record (STEP 2 — TIME-LIVE COUPLED NATIVE-MATTER SOLVE on UDT's DERIVED operator — BOUNDED OBSERVE); no runtime, manifest, frozen-source, or unresolved-path dependency; non-frozen pointers are atomically rewritable.	35	10	-	PASS_UNCHANGED
