gate_id	mutation_or_failure	required_disposition
F01	connection_coefficients_assigned_instead_of_derived	FAIL
F02	wrong_normal_connection_clock_component	REJECT
F03	wrong_normal_connection_ruler_component	REJECT
F04	wrong_leaf_curvature_coefficient	REJECT
F05	lambda_minus_one_flat_substratum_erased	REJECT
F06	generic_nonzero_dphi_curvature_called_zero	REJECT
F07	winding_loop_conflated_with_contractible_loop	REJECT
F08	orientation_signed_angle_called_O2_invariant	REJECT
F09	ambient_Lorentz_holonomy_called_normal_SO2_holonomy	REJECT
F10	one_leaf_or_Hopf_base_selected	REJECT
F11	one_lambda_selected	REJECT
F12	cross_leaf_horizontal_path_called_unique	REJECT
F13	projected_connection_called_physical_observer_arrow	REJECT
F14	downstream_action_source_matter_bootstrap_Xmax_CMB_or_dynamics_inferred	REJECT
