path	role
CURRENT_SCIENTIFIC_PREMISES.tsv	exact_current_premise_authority
native_hopfion_topology_audit_2026-07-19/AUDIT_REPORT.md	historical_topology_ownership_authority
native_hopfion_topology_audit_2026-07-19/TOPOLOGY_STATUS_LEDGER.tsv	historical_topology_status_ledger
udt_g289_native_kernel_hopfion_compatibility_history_constraint_audit_2026-08-28/AUDIT_REPORT.md	frame_gauge_and_compatibility_control
udt_g289_native_kernel_hopfion_compatibility_history_constraint_audit_2026-08-28/COMPATIBILITY_LEDGER.tsv	frame_gauge_status_control
udt_g290_metric_native_topology_history_bridge_whiteboard_2026-08-28/EXACT_DERIVATION.md	screen_holonomy_control
udt_g292_orientable_screen_differential_character_descent_2026-08-28/EXACT_DERIVATION.md	screen_differential_character_control
udt_g292_orientable_screen_differential_character_descent_2026-08-28/STATUS_LEDGER.tsv	screen_character_status_control
udt_g300_metric_celestial_query_bundle_descent_2026-08-29/AUDIT_REPORT.md	celestial_query_ownership_control
udt_g300_metric_celestial_query_bundle_descent_2026-08-29/STATUS_LEDGER.tsv	celestial_query_status_control
udt_g304_global_cell_constant_sector_discriminator_2026-08-30/AUDIT_REPORT.md	positive_candidate_branch_control
udt_g305_global_completion_hopf_domain_bridge_2026-08-30/AUDIT_REPORT.md	compact_round_domain_authority
udt_g305_global_completion_hopf_domain_bridge_2026-08-30/EXACT_DERIVATION.md	global_round_slice_derivation
udt_g305_global_completion_hopf_domain_bridge_2026-08-30/HOPF_REQUIREMENT_LEDGER.tsv	open_map_target_descent_ledger
udt_g305_global_completion_hopf_domain_bridge_2026-08-30/PREMISE_LEDGER.tsv	G305_choice_and_scope_control

