premise_id	object	status	provenance	use_or_exclusion
P01	C01-C06 regular projector reductions	pinned-by-THEORY	G43 carried/intrinsic audit	full bounded branch set
P02	path-labelled SO2 alignment bitorsor	pinned-by-THEORY	G43 exact derivation	gauge object under test
P03	balanced bitorsor composition	pinned-by-THEORY	G43 production and independent algebra	composition baseline
P04	delta_RF	CONDITIONAL	reciprocal-flag ownership audit	test descent; never promote to selected physical law
P05	terminal pair-metric log imbalance	CONDITIONAL	terminal reciprocal c_E audit	test descent on supplied regular pair metric
P06	R17 scalar assembly	CONDITIONAL	branch-transition audit	test only gauge invariance; branch ownership remains rejected
P07	clock-line and plane densities	CONDITIONAL	reciprocal-root flag definitions	test descent separately from generation
P08	calibration magnitude	OPEN	G35-G43 lineage	must not be generated by isometric alignment
P09	screen rotations	free-and-explored	full SO2 stabilizer	no preferred phase
P10	path label	free-and-explored	frozen holonomy evidence	retained; no endpoint collapse
P11	null or degenerate strata	OPEN	outside G43 regular scope	excluded from universal conclusion
P12	action source matter mass bootstrap	OPEN	outside kinematic descent audit	no inference
