item	status	role	forbidden_promotion
fixed_K	POSIT_FOUNDING	internal symmetric dual pairing on reciprocal channel space	query-independent spacetime tensor or physical volume law
D_delta	DERIVED_ON_SUPPLIED_DEPTH	determinant-one K-isometry	observer query transition owner
determinant_line	DERIVED_INTERNAL_REPRESENTATION	one-dimensional reciprocal channel density line	spacetime two-form without solder
pair_immersion_F	CONDITIONAL_QUERY_SUPPLIED	defines one evaluated pair surface	universal physical query
pair_metric_h	DERIVED_FROM_SUPPLIED_g_F	full intrinsic pair geometry	physical history selector
pair_volume_density	DERIVED_ON_REGULAR_h	coordinate-invariant density on supplied pair surface	base-spacetime two-form or cross-query scalar
common_atlas_transitions	CONDITIONAL_SUPPLIED_OR_DERIVED	own-atlas overlap and triple-overlap descent	physical branch selection
ambient_area_bilinear	DERIVED_FROM_FULL_g	metric-natural quadratic form on bivectors	fixed-K-only owner or alternating two-form
orientation	CHOSE_IF_USED	two-form sign choice	automatic from density
physical_query_value_network	OPEN	outside bounded derivation	selected by covariance or descent
strong_local_CSN	CHALLENGED_OWNER_POSTULATE_NOT_DERIVED	inactive	common scale erased as gauge
