G74_regression_mask_mismatch	G74_regression_max_chord	G74_regression_profile	amplitude	behavior_class	finest_crossed_vertices	finest_degree_estimate	finest_directions_with_turns	finest_max_face_shear_ratio	finest_max_face_smax	finest_max_signed_area_ratio	finest_maximum_turn_count	finest_median_face_shear_ratio	finest_min_face_smin	finest_min_signed_area_ratio	finest_missing_vertices	finest_near_area_1e2	finest_near_area_1e3	finest_near_area_1e4	finest_negative_faces	finest_negative_intrinsic_face_maps	finest_nonfinite_count	finest_p95_face_shear_ratio	lapse_a	max_abs_hamiltonian	mesh_degree_drift_level3_to4	physical_status	profile_id	q_c0	q_c1	q_c2	reflection_mask_mismatch	reflection_max_chord	sample_class	shape_id	stratum_code	time_refinement_endpoint_max_chord	time_refinement_mask_mismatch
0	0.0	G68_F01_AM	0.0	ZERO_MIXING_CONTROL	2562	1.0	1249	1.0366044040826117	1.2598735683381175	1.5868898830321907	1	1.0184089076725873	0.7560283565316395	0.5716782665764115	0	0	0	0	0	0	0	1.0330826814823033	-0.25	9.871226058777438e-11	0.0	CHOSE_CONTROL_NOT_SELECTED	G75_F01_AM	0.0	0.0	0.0	0	0.0	SAMPLED_COMPLETE_ORIENTATION_PRESERVING	ZERO	ZERO	1.203350244055785e-07	0
0	0.0	G68_F01_A0	0.0	ZERO_MIXING_CONTROL	2562	1.0	1249	1.0448539132059897	1.2500249327654986	1.562193129213338	1	1.0233822964182342	0.750115823054077	0.5627723120096546	0	0	0	0	0	0	0	1.040287724802915	0.0	1.6653345369377348e-16	0.0	CHOSE_CONTROL_NOT_SELECTED	G75_F01_A0	0.0	0.0	0.0	0	0.0	SAMPLED_COMPLETE_ORIENTATION_PRESERVING	ZERO	ZERO	1.1650017740308216e-07	0
0	0.0	G68_F01_AP	0.0	ZERO_MIXING_CONTROL	2562	1.0	1249	1.0530405326005137	1.24040370954164	1.5382533064894688	1	1.029329814975498	0.744338573487871	0.5541395859758395	0	0	0	0	0	0	0	1.0478679722174287	0.25	7.796763235035087e-12	0.0	CHOSE_CONTROL_NOT_SELECTED	G75_F01_AP	0.0	0.0	0.0	0	0.0	SAMPLED_COMPLETE_ORIENTATION_PRESERVING	ZERO	ZERO	1.1833185719180647e-07	0
-1	nan	-	0.05	CENTER_OFF_NO_INTERIOR_ROOT	2562	1.0000000000000002	1249	1.0369509672134585	1.2599082925276301	1.5869825198091676	1	1.0184544757687148	0.7559762529201873	0.5716503840099453	0	0	0	0	0	0	0	1.0330905649718345	-0.25	1.0213563328420605e-10	2.220446049250313e-16	CHOSE_CONTROL_NOT_SELECTED	G75_AM_S01_E05	0.0	0.0	0.05	0	0.0	SAMPLED_COMPLETE_ORIENTATION_PRESERVING	S01	C2_E0_O0_T0	3.3846229170865424e-06	0
-1	nan	-	0.05	CENTER_OFF_NO_INTERIOR_ROOT	2562	1.0	1249	1.04507177217257	1.2500684550979484	1.5622879028706806	1	1.0234303031330882	0.7500503685442192	0.5627244997147273	0	0	0	0	0	0	0	1.0406213118151382	0.0	8.706368959110478e-12	0.0	CHOSE_CONTROL_NOT_SELECTED	G75_A0_S01_E05	0.0	0.0	0.05	0	0.0	SAMPLED_COMPLETE_ORIENTATION_PRESERVING	S01	C2_E0_O0_T0	2.3393738665511735e-06	0
-1	nan	-	0.05	CENTER_OFF_NO_INTERIOR_ROOT	2562	1.0	1249	1.0531222553601693	1.2404423624132443	1.538336751723677	1	1.0295139657257129	0.7442708555892227	0.5540832290522618	0	0	0	0	0	0	0	1.0480949490562934	0.25	1.1364298391214334e-11	0.0	CHOSE_CONTROL_NOT_SELECTED	G75_AP_S01_E05	0.0	0.0	0.05	0	0.0	SAMPLED_COMPLETE_ORIENTATION_PRESERVING	S01	C2_E0_O0_T0	1.8119382636076699e-06	0
-1	nan	-	0.2	CENTER_OFF_NO_INTERIOR_ROOT	2562	1.0	1249	1.0378674728793142	1.2599476166335828	1.5867815259162559	1	1.0186194733191933	0.7563346457761977	0.5725748225587785	0	0	0	0	0	0	0	1.033372738355867	-0.25	2.28773333610377e-10	0.0	CHOSE_CONTROL_NOT_SELECTED	G75_AM_S01_E20	0.0	0.0	0.2	0	0.0	SAMPLED_COMPLETE_ORIENTATION_PRESERVING	S01	C2_E0_O0_T0	1.2279257327158922e-05	0
-1	nan	-	0.2	CENTER_OFF_NO_INTERIOR_ROOT	2562	1.0000000000000002	1249	1.046023405032322	1.2500192011659035	1.5621036717786618	1	1.0235927952800368	0.7502697292911896	0.5633463353460008	0	0	0	0	0	0	0	1.0409953383696877	0.0	7.818456992936262e-11	2.220446049250313e-16	CHOSE_CONTROL_NOT_SELECTED	G75_A0_S01_E20	0.0	0.0	0.2	0	0.0	SAMPLED_COMPLETE_ORIENTATION_PRESERVING	S01	C2_E0_O0_T0	8.841313130500078e-06	0
-1	nan	-	0.2	CENTER_OFF_NO_INTERIOR_ROOT	2562	1.0	1249	1.0540914727489412	1.240504989634314	1.5382666075850309	1	1.0296573824072457	0.744397399456237	0.5545165280166497	0	0	0	0	0	0	0	1.048668580475903	0.25	4.412009646515003e-11	0.0	CHOSE_CONTROL_NOT_SELECTED	G75_AP_S01_E20	0.0	0.0	0.2	0	0.0	SAMPLED_COMPLETE_ORIENTATION_PRESERVING	S01	C2_E0_O0_T0	6.908217754222909e-06	0
-1	nan	-	0.5	CENTER_OFF_NO_INTERIOR_ROOT	2562	1.0000000000000002	1249	1.0398317834987105	1.2600881881575314	1.5835921531738895	1	1.0202324967844807	0.7579566893897192	0.5779398243332203	0	0	0	0	0	0	0	1.0367880460427077	-0.25	1.6669501334831693e-09	0.0	CHOSE_CONTROL_NOT_SELECTED	G75_AM_S01_E50	0.0	0.0	0.5	0	0.0	SAMPLED_COMPLETE_ORIENTATION_PRESERVING	S01	C2_E0_O0_T0	1.9681467043926462e-05	0
-1	nan	-	0.5	CENTER_OFF_NO_INTERIOR_ROOT	2562	1.0	1249	1.0480448522030616	1.250022557413828	1.5595955786649247	1	1.025146189739341	0.7514058916716712	0.5672994662471271	0	0	0	0	0	0	0	1.0435096565910051	0.0	9.157011815474903e-10	0.0	CHOSE_CONTROL_NOT_SELECTED	G75_A0_S01_E50	0.0	0.0	0.5	0	0.0	SAMPLED_COMPLETE_ORIENTATION_PRESERVING	S01	C2_E0_O0_T0	1.5000390794777051e-05	0
-1	nan	-	0.5	CENTER_OFF_NO_INTERIOR_ROOT	2562	1.0000000000000002	1249	1.0561614038947233	1.2410694257045107	1.5364483504599484	1	1.030863780752501	0.7451958530483073	0.5576119287370576	0	0	0	0	0	0	0	1.051083214243481	0.25	4.861432922886877e-10	2.220446049250313e-16	CHOSE_CONTROL_NOT_SELECTED	G75_AP_S01_E50	0.0	0.0	0.5	0	0.0	SAMPLED_COMPLETE_ORIENTATION_PRESERVING	S01	C2_E0_O0_T0	1.2868428206258088e-05	0
-1	nan	-	1.0	CENTER_OFF_NO_INTERIOR_ROOT	2562	1.0	1249	1.0707273837399427	1.2643802991090574	1.5762456066775838	1	1.0354397820031345	0.7617253499379519	0.5939110877856656	0	0	0	0	0	0	0	1.059703364169421	-0.25	2.646060925926008e-09	0.0	CHOSE_CONTROL_NOT_SELECTED	G75_AM_S01_E100	0.0	0.0	1.0	0	0.0	SAMPLED_COMPLETE_ORIENTATION_PRESERVING	S01	C2_E0_O0_T0	1.9803803047776876e-05	0
-1	nan	-	1.0	CENTER_OFF_NO_INTERIOR_ROOT	2562	1.0	1249	1.0691935730232969	1.2534955252675417	1.5537424822439103	1	1.0348604772251102	0.7541932014692405	0.5792875490504316	0	0	0	0	0	0	0	1.0603197219715712	0.0	1.7112485872772254e-09	0.0	CHOSE_CONTROL_NOT_SELECTED	G75_A0_S01_E100	0.0	0.0	1.0	0	0.0	SAMPLED_COMPLETE_ORIENTATION_PRESERVING	S01	C2_E0_O0_T0	1.5330295979396422e-05	0
-1	nan	-	1.0	CENTER_OFF_NO_INTERIOR_ROOT	2562	1.0	1249	1.0729147134159764	1.2446768602592555	1.5321138314516916	1	1.036581789397954	0.7473514709233637	0.5669889031348408	0	0	0	0	0	0	0	1.0638566565767895	0.25	1.1062112892368248e-09	0.0	CHOSE_CONTROL_NOT_SELECTED	G75_AP_S01_E100	0.0	0.0	1.0	0	0.0	SAMPLED_COMPLETE_ORIENTATION_PRESERVING	S01	C2_E0_O0_T0	1.337097340719639e-05	0
