path	role
founding.md	F1--F4 and W1--W6 ownership boundary
CURRENT_SCIENTIFIC_PREMISES.tsv	exact premise authority through G306
udt_g259_metric_only_parent_operator_fork_classification_2026-08-25/EXACT_DERIVATION.md	conditional operator-class comparison
udt_g261_universal_metric_coupling_parent_operator_ownership_2026-08-25/EXACT_DERIVATION.md	W4 conservative-extension theorem
udt_g296_complete_metric_native_residual_order_map_2026-08-29/EXACT_DERIVATION.md	first local natural differential order
udt_g301_scale_free_quiet_regular_causal_principal_classification_2026-08-30/EXACT_DERIVATION.md	two conditional curvature-response classes
udt_g302_reciprocal_trace_span_curvature_channel_separation_2026-08-30/EXACT_DERIVATION.md	nine reciprocal shape directions plus common scale
udt_g303_two_class_nonlinear_cauchy_data_classification_2026-08-30/EXACT_DERIVATION.md	one connected scalar datum and causal principal system
udt_g304_global_cell_constant_sector_discriminator_2026-08-30/EXACT_DERIVATION.md	bounded downstream sign check only
udt_g309_strengthened_chain_history_selection_audit_2026-08-31/EXACT_DERIVATION.md	founded-chain counterfamily and conditional round closure
