catch_id	corruption_or_overclaim	required_rejection
F01	copresence_promoted_to_instant_access	FAIL_G02_G18
F02	one_premise_stamp_deleted_or_changed	FAIL_G02
F03	phi_a_R_event_or_invariants_changed	FAIL_G03
F04	degree_bound_above_nine_hidden	FAIL_G04
F05	one_production_node_missing_or_duplicate	FAIL_G05
F06	floating_interpolation_substituted_for_exact	FAIL_G06
F07	one_exact_holdout_mismatch	FAIL_G07
F08	leading_zero_terms_retained_as_actual_degree	FAIL_G08
F09	one_real_root_omitted	FAIL_G09_G10
F10	root_multiplicity_changed	FAIL_G09
F11	one_interval_or_sign omitted	FAIL_G11
F12	one_center_missing_or multiply assigned	FAIL_G12
F13	other_gate_called_lambda_dependent	FAIL_G13
F14	Torch_tolerance_loosened_after_result	FAIL_G14
F15	D_zero_called_intrinsic_clock loss	FAIL_G15
F16	D_zero_called extra symmetry	FAIL_G15
F17	D_zero_called metric singularity	FAIL_G15
F18	lambda_interval_called full configuration component	FAIL_G16
F19	one_interval_or_lambda_selected as physical	FAIL_G17
F20	operational_access_endpoint_or_path semantics selected	FAIL_G18
F21	action_carrier_source_density_bootstrap_mass_Xmax_or_dynamics inferred	FAIL_G19
F22	candidate_node_or_method retuned after preregistration	PREREGISTRATION_FAILURE
