term	status	maximum_conclusion	open_scope
bounded_vacuum_dynamics	OWNER_ADOPTED_PROVISIONAL_POSTULATES_PLUS_BOUNDED_DERIVATION	conditional local equation Ric_ab=Lambda*g_ab	full UDT extension sources matter singular boundaries
conditional_history	CONDITIONAL_ON_SUPPLIED_DATA	field equation may propagate admitted initial or boundary data	lawful physical data and global completion
global_admissibility	OPEN_MISSING_NONIDENTITY_TYPE	could reject complete histories modulo diffeomorphism	formula ownership and accepted family
actualization_population	OPEN_IF_ACCEPTED_FAMILY_NONSINGLETON	choice or measure on accepted histories	physical meaning and ownership
network_reconstruction	DERIVED_CONDITIONAL_IDENTITY_ON_IMAGE	reconstructs each supplied complete metric	not a selector
bootstrap_fixed_point	TYPE_ONLY_MAP_UNSUPPLIED	selectivity depends on independently specified nonidentity map	map ownership and fixed-point family
candidate_filters	NOT_OWNED_CONTROLS	separate finite witnesses	no candidate adopted or canonized
unique_universe_bootstrap	OPTIONAL_STRONGER_AMBITION_NOT_REQUIRED_FOR_CONDITIONAL_FIELD_THEORY	would remove freely supplied global data	whether UDT claims this stronger completion
metric_kernel_angular_observation	UNCHANGED	current interfaces retained	extension and calibration
external_review	G314_ACCEPTED__ADMISSIBILITY_ACTUALIZATION_DISTINCTION_UPHELD	bounded type distinction independently replayed	full solution census and any selector remain open
