id	path	locator	source_status	audit_use
S01	UDT_RECIPROCAL_C_FOUNDING_POSTULATE_DERIVATION_RESULTS.md	Sections 1-4 and honest conclusion	FOUNDATIONAL_CANDIDATE_PLUS_DERIVED_KINEMATICS	Supplies the internal dual pair reciprocal character determinant-one law and declared Lorentzian readout limits.
S02	UDT_COMMON_SCALE_NEUTRALITY_POSTULATE_2026-07-15.md	Postulate and undecided list	FOUNDATIONAL_POSTULATE_LOCKED	Supplies the conformal class and forbids primitive local common scale while leaving derivative order and transport open.
S03	UDT_GLOBAL_BOOTSTRAP_PRINCIPLE_2026-07-15.md	Interpretation ledger	OWNER_STATED_WORKING_PRINCIPLE	Bootstrap is whole-solution admissibility and supplies no local connection equation.
S04	UDT_SCIENTIFIC_FRONTIER_2026-07-19.md	Current honest result and open discriminator	CURRENT_FRONTIER	No physical representative connection transport law transverse realization or carrier emergence is selected.
S05	reciprocal_line_realization_selector_2026-07-18/DERIVATION_REPORT.md	Type gap and realization-map closure	VERIFIED_WITH_CAVEATS	The internal pair is not automatically a spacetime endomorphism; a native realization/reduction rule remains open.
S06	transverse_reciprocal_realization_selector_2026-07-19/AUDIT_REPORT.md	Direct vector extension and conditional spin/projective correspondence	VERIFIED_WITH_CAVEATS	Direct faithful four-vector extension leaves transverse identity; reciprocal Hopf correspondence is exact but physical transverse realization is underdetermined.
S07	null_section_hopfion_metric_audit_2026-07-19/AUDIT_REPORT.md	Exact reciprocal Hopf orbit block and selection limits	VERIFIED_WITH_CAVEATS	Supplies the conditional angular block diag(exp(-2phi),exp(2phi)) and lists the unselected spatial periodic cap and action premises.
S08	angular_toric_closure_selector_2026-07-19/AUDIT_REPORT.md	Conditional S3 theorem and selector audit	VERIFIED_WITH_CAVEATS	Global topology follows only after separately supplied toric spatial and cap premises.
S09	native_hopfion_topology_audit_2026-07-19/AUDIT_REPORT.md	Carrier and stability premise boundary	VERIFIED_WITH_CAVEATS	Existing Hopfion is full 3D and statically stable only within conditional carrier action box and boundary premises.
S10	udt_time_extendability_constraint_audit_2026-07-20/AUDIT_REPORT.md	Connection hierarchy and conservation result	IMMEDIATE_PARENT	Full reciprocal parallelism conditionally conserves mu while current UDT selects no physical transport.
S11	udt_complete_lift_mu_closure_audit_2026-07-20/AUDIT_REPORT.md	Complete lift and generator census	VERIFIED_WITH_CAVEATS	Supplies four registered seal lifts and the conditional direct transverse-zero generator extension.
S12	udt_clock_ruler_soldering_selector_audit_2026-07-20/AUDIT_REPORT.md	Seal-local soldering	VERIFIED_WITH_CAVEATS	Supplies the conditional reciprocal plane and local clock/radial causal lines.
S13	metric_cartan_holonomy_audit_2026-07-19/AUDIT_REPORT.md	Cartan connection and selection limit	VERIFIED_WITH_CAVEATS	Connection and curvature follow per representative but do not select the complete metric or global reduction.
S14	projective_transport_section_selector_2026-07-19/AUDIT_REPORT.md	Propagation comparison selection split	VERIFIED_WITH_CAVEATS	Conformal transport propagates supplied data but does not choose a section or physical tangent connection.
S15	finite_cell_seal_boundary_phase_join_2026-07-20/AUDIT_REPORT.md	Partial seal data	VERIFIED_WITH_CAVEATS	Seal fixes one static ratio datum and supplies no complete bulk connection or boundary evolution.
S16	udt_global_coframe_cocycle_audit_2026-07-20/AUDIT_REPORT.md	Full lift and global closure status	VERIFIED_WITH_CAVEATS	Cover incidence cap and physical global coframe continuation remain open.
S17	udt_premise_reset_audit_2026-07-19/AUDIT_REPORT.md	Corrected physical meanings	CURRENT_CORRECTION_OVERLAY	Prevents reuse of withdrawn Xmax observer-frame interpretations as affirmative transport physics.
S18	udt_gr_subtraction_reciprocal_connection_audit_2026-07-21/PREREGISTRATION.md	Whole file	FROZEN_PREREGISTRATION	Freezes structural question candidate transport levels falsifiers and stop line.

