sha256	path	role
d8dd1dbb1ad9c9225f42d0eb2bb8e5337084cf1051d830a6f019007bb45bab40	udt_g129_copresent_relational_network_faithfulness_2026-08-16/AUDIT_REPORT.md	rank-complete relation-network faithfulness
337f9d74a18ba3707c7a77468d583d61f8c2ed9937241c37f55b5975027313fd	udt_g132_common_scale_owner_and_anchor_audit_2026-08-16/AUDIT_REPORT.md	anchor dimensional rank and common-scale ownership
9aa11fffc1f789500fbd7e91fd42a3b10ce35eef06dcf39be7fa711c25293c92	udt_g145_copresent_relation_history_descent_equivalence_2026-08-17/AUDIT_REPORT.md	reconstruction equivalence and invariant counterfamily
2c4d58048842b0bac290490294ecab05e8003ced46f4b743708f0e7144e87fb1	udt_g155_scale_sector_closure_whiteboard_2026-08-18/AUDIT_REPORT.md	common-scale principal-rank census
14498cb47337face0529524c83e0241a3124a50ff072aa760e2e2133513be843	udt_g156_three_observer_scale_carry_audit_2026-08-18/AUDIT_REPORT.md	pair half-density and supplied carry
e31bdb39d09883fb191ecc0ca1ef720dfa0014c3eea8f81724188baec99f760f	udt_g157_regime_dependent_channel_balance_regrading_2026-08-18/AUDIT_REPORT.md	changing channel balance and no lockstep
fe6d457770371b5811e46b153745d5060d3d1b20283669ef19775bb8818a74de	udt_g158_complete_coframe_semidirect_score_audit_2026-08-18/AUDIT_REPORT.md	complete score and representation layers
ab6390013e02d7a1c3b4e895894201eac5008f829d38198c7c446f583e0917ba	udt_g159_complete_score_terminal_descent_2026-08-18/AUDIT_REPORT.md	terminal first-jet descent
da7a358c5669e02b8004e496d25a2ac2f2a4cd8c2ccd52da27ceb5baafdb6aa7	udt_g160_three_observer_timelive_first_jet_carry_2026-08-18/AUDIT_REPORT.md	three-observer supplied carry
1a340f4688026745f8ea894624bf2f72b0397e6affb3979968409eda3446c6b7	udt_g161_pair_carry_lorentz_quotient_screen_resolution_2026-08-18/AUDIT_REPORT.md	Lorentz quotient and positive section
c3ed481728eeeec6fa35cbb7791cb3a4ce078cd5433458e51ef883c7ee128637	udt_g162_lambda_dependence_frontier_census_2026-08-18/AUDIT_REPORT.md	residual rapidity census
e7eda779c8496f269a0e94060a5824dd79b2b147af8186277236982ec2708670	udt_g163_xmax_dependency_reversal_audit_2026-08-18/AUDIT_REPORT.md	scale-free kernel and Xmax reversal
d51c637251f9cc0a6bb27bc71d3bf6aa61462a85cc551fada8f866749587a843	CURRENT_SCIENTIFIC_PREMISES.tsv	exact premise authority at whiteboard start
