premise_id	object	status	allowed_use	forbidden_promotion
BCO-P01	founded phi and reciprocal pair	DERIVED_SCOPED	metric/coframe input structure	realized profile or dynamics
BCO-P02	complete coframe configurations	DERIVED_EXISTENCE_CLASSES	domain candidates	on-shell universe
BCO-P03	c_E and G_obs	OBSERVED_ANCHORS	dimensional calibration after native object exists	selector or physical normalization by themselves
BCO-P04	strong local CSN	INACTIVE_CHALLENGED	none except explicit counterfactual	Weyl gauge or scale removal
BCO-P05	finite-cell finiteness	WORKING_SPLIT_READING	global domain family with provenance stamp	unique boundary completion
BCO-P06	mirror closure	WORKING_RATIFIED_NOT_DERIVED	conditional completion branch	owner bedrock or derived boundary
BCO-P07	bootstrap	WORKING_ON_SHELL_ADMISSIBILITY	global-local lens	equation optimizer equality or fixed point
BCO-P08	global metric invariants	MATHEMATICAL_OBJECTS	candidate output families	physical energy mass or charge
BCO-P09	observer/path/slice queries	CONDITIONAL_TYPED	retain arguments explicitly	intrinsic scalar with arguments erased
BCO-P10	Xmax	WORKING_GLOBAL_PAIR_SCHEMA	candidate queried/global output	derived value radius or edge
BCO-P11	raw boundary flux	DERIVED_BOUNDED_METRIC_LIMIT	candidate boundary datum	native mass charge or normalization
BCO-P12	topology holonomy completion labels	DERIVED_OR_CONDITIONAL_BY_CLASS	configuration classification	response map or selected physics
BCO-P13	P4 response inverse problem	BANKED_PERMITTED_RESPONSE_SPACE	candidate constraint architecture	selected physical response law
BCO-P14	P4 integrated solution legs	CONDITIONAL_BRANCH_OUTPUTS	branch-scoped controls	metric-only universal observables
BCO-P15	complete native equation action source boundary mass	OPEN	closure targets	assumed input
BCO-P16	JR_CERT_NATIVE result	CLOSED_PASS_BOUNDED_PARENT	failure boundary and source anchors	universal no-go
BCO-P17	matter energy density	OPEN_NATIVE_DEFINITION	retain missing dependency visible	LCDM GR or carrier import
BCO-P18	computation posture	CPU_ONLY_MAP_AND_EXACT_CONTROLS	deterministic census and algebra	ODE PDE GPU or T4
