id	status	statement
S01	DERIVED_CONDITIONAL	J_is_the_longitudinal_Jacobi_field_of_the_supplied_affine_null_family
S02	DERIVED_CONDITIONAL	a_equals_minus_g_JK_is_positive_and_constant_along_each_declared_ray
S03	DERIVED_CONDITIONAL	boundary_identity_a_equals_WA_equals_rAB_WB_recovers_G221
S04	DERIVED_CONDITIONAL	full_pair_pullback_has_determinant_minus_a_squared_and_rank_two
S05	DERIVED_CONDITIONAL_ON_G176	completed_vertical_ruler_density_is_uniquely_m_equals_a
S06	DERIVED_CONDITIONAL	G188_quotient_screen_is_canonically_the_pair_normal_screen
S07	DERIVED_CONDITIONAL	G188_connection_tidal_operator_and_finite_Jacobi_map_remain_normal_channels
S08	EXACT_CONTROL	nonconstant_flat_null_ribbon_has_nonclosed_reciprocal_vertical_density
S09	OPEN	global_scalar_ruler_coordinate_without_closedness
S10	OPEN	physical_null_or_other_protocol_observer_and_branch_population
S11	OPEN	global_metric_realization_completion_and_Xmax
S12	FORBIDDEN_PROMOTION	no_scalarization_fit_transfer_action_source_matter_bootstrap_mass_or_signalling
