claim_id	claim	status	exact_scope	open_scope
S01	founding_source_signature	DERIVED_ABSTRACT	reciprocal clock ruler labels exchange parity and additive character on supplied depth	physical pair realization
S02	continuous_density_character_classification	DERIVED	all continuous real characters of matched Delta_kappa Delta_phi are a Delta_kappa plus b Delta_phi	broader enriched state cocycles
S03	founding_reciprocal_projection	CONDITIONAL_REALIZATION_UNIQUE	Delta_phi unique after complete calibrated query supplies pair relation and realizes exchange on matched density class	physical pair map and complete query ownership
S04	common_scale_state	DERIVED_CONDITIONAL	kappa and Delta_kappa retained as pair metric state and matched character	physical common scale measurement ownership
S05	shift_state	DERIVED_CONDITIONAL	beta unique pair metric coordinate and conditional enriched query state	physical event pairing and ruler evolution
S06	angular_transport	DERIVED_AFTER_PATH	U_gamma is separate screen isometry with no nontrivial continuous real SO2 character	physical path and channel population
S07	arbitrary_endpoint_coboundaries	CONSTRUCTIVE_NONUNIQUENESS	broader enriched state admits telescoping f(q)-f(p)	physical measurement function
S08	complete_screen_weight	DERIVED_REPRESENTATION	reconstructed from Delta_phi U_gamma variance and supplied lambda	other branches
S09	phi_orchestra	RETAINED	complete mixing modulates pair metric before terminal phi extraction	physical complete pair map
S10	strong_local_CSN	CHALLENGED_INACTIVE	cannot delete kappa	future explicit counterfactual only
S11	c_E	OBSERVED_CALIBRATION	terminal reciprocal clock ruler calibration	complete physical placement
S12	physical_multichannel_measurement_policy	OPEN	no regime or branch policy selected	on shell or global completion ownership
S13	physical_pair_map_path_and_arrow	OPEN	outside bounded audit	complete observer relation
S14	conductor_action_source_matter_and_dynamics	OPEN_NOT_DERIVED	outside bounded audit	complete UDT closure
