sha256	path	role
f0c045abf9810dc327d249d0df385cd7e8d6914eedfaf5b31c78d186eaa13d44	SIMPLE_METRIC_MACRO.md	declared primary metric
813313c08d8320a20545e381a3a571edc3f0126054412a2f0d1d1b145545393b	CURRENT_SCIENTIFIC_PREMISES.md	current premise boundary
e51704c01a72c546401e31f59ecf0b1881ee2c273324ccba2e4572fc7d01941d	udt_g167_primary_metric_full_pair_pullback_orchestra_2026-08-18/EXACT_DERIVATION.md	general primary pair pullback
611928ca840624448cf3c22759ecc7e9582cba8ae2f2a10749aa2ea6b0cc1913	udt_g168_ordered_copresent_pair_plane_ownership_2026-08-18/EXACT_DERIVATION.md	germ plane and calibration boundary
f4ff6489086e157deb9fb1e31ddf613e849a6806a129ec4c7d7657c0ebbd6d74	udt_g170_endpoint_relative_bidirectional_pair_response_2026-08-19/EXACT_DERIVATION.md	endpoint difference and calibration class
2470fa7b33f48337a450736f488c4f909540fb30e32163c0b0211ad5cbd52671	udt_g171_primary_metric_multi_pair_response_2026-08-19/EXACT_DERIVATION.md	pair-relative network boundary
a4d285984b126dffeb1e4d7f68b46f284ca90da9b0e60b6d369c4169f3841055	udt_g172_primary_metric_smooth_pair_family_integrability_2026-08-19/PREREGISTRATION.md	prior bounded contract
dc04c126d9401a263eec0315e25559ac00ac4c60e648afcf2a1118acee859262	udt_g172_primary_metric_smooth_pair_family_integrability_2026-08-19/EXACT_DERIVATION.md	monotone-areal theorem and turning boundary
3468fb99a5da7a142d4f7f167c7d5ba3b76a138475cb514f5ef2fc48a93f0842	udt_g172_primary_metric_smooth_pair_family_integrability_2026-08-19/AUDIT_REPORT.md	G172 bounded landing
3257660ab909fdd2e6cf7a870ae682153c7fc6377d2dc3bce36931f388038503	udt_g172_primary_metric_smooth_pair_family_integrability_2026-08-19/EXTERNAL_REVIEW_ADJUDICATION.md	external retained boundaries
824eb2e5acb9ed07e1c3671990385bef2266b78f4101cc6d845022ed4766c3d3	udt_g172_primary_metric_smooth_pair_family_integrability_2026-08-19/STATUS_LEDGER.tsv	open turning and calibration ledger
