completion_id	name	required_module_question
FC01_BOUNDARY_BOUNDARY	interval_with_two_boundaries	full_module_and_boundary_pair_framing
FC02_ONE_CAP_BOUNDARY	one_cap_one_boundary	rank_drop_plus_boundary
FC03_TWO_CAP_P0	dependent_two_caps	residual_circle_and_pair_extension
FC04_TWO_CAP_P1	independent_unimodular_caps	stratified_T2_S3_and_free_fixed_circle
FC05_TWO_CAP_P_GT1	lens_family	quotient_congruence_and_fixed_circle_isotropy
FC06_NONPRIMITIVE_CAP	orbifold_cap	effectiveness_and_exceptional_stabilizer
FC07_PERIODIC_TORUS_BUNDLE	GL2Z_monodromy	full_local_system_versus_pair_reduction
FC08_MIRROR_DOUBLE	mirror_lift	identity_sign_swap_order_four_alternatives
FC09_NONORIENTABLE_GLUE	det_minus_one_twist	unoriented_pair_and_orientation_local_system
FC10_STRATIFIED_PROJECTOR	rank_changing_strata	module_termination_or_quotient
FC11_NONINTEGRABLE_DISTRIBUTION	anholonomic_plane	no_global_character_module
FC12_RECIPROCAL_TORIC_DIAGONAL	exact_control	wall_pair_exchange_and_endpoint_subclasses
