attachment	relative_path	governing_banner_or_status	claim_or_mechanical_role	relation_to_own_D0_D5	disposition	notes
A1-A5 leading set	CANON.md	Append-only Charles-canon ledger; scope-tagged authority	Scoped kinematic, finite-cell, carrier, macro, and status ledger	CONFIRMS reciprocal kinematics/finite-cell scope; NO-CHANGE to action, completion, boundary, or mass underdetermination	SURVIVING	Only statements in their recorded scope are used; unenumerated citations were not imported.
A1-A5 leading set	udt_field_equations_derivation_results.md	CAREFUL DERIVE; Category-A DATA-BLIND; DERIVED / CHOSE / CONVENTION; blind pass required	Historical conventional-Einstein-form modified field-equation proposal	CHALLENGES only by extra unforced field-equation/exponent premises; NO-CHANGE	SUPERSEDED	Pre-native census says vacuum=GR conclusion superseded 2026-07-01; absent script cannot certify it.
A1-A5 leading set	native_geometric_action_results.md	DERIVED/verified GIVEN action FORM; UNIQUENESS residual; NOT canon	Conditional angular-curvature-mismatch action and G/P fork	CONFIRMS coefficients, field space, branch, and uniqueness remain conditional	CONDITIONAL	Exact reductions do not establish native provenance.
A1-A5 leading set	simple_metric_S9_native_action_honesty_results.md	MAP + OBSERVE; LEAD; native package OPEN	Simple-metric action honesty map	CONFIRMS action fork and reduced-EH warning; NO-CHANGE	OPEN	Its do-not-build-on list governs.
A1-A5 leading set	matter_carrier_provenance_audit_results.md	OBSERVE provenance audit; BANKED-FOR-STRUCTURE	S2 carrier POSIT; round target CHOSE; L2/L4 only given carrier	CONFIRMS D0-D5 carrier provenance and completion fork	SURVIVING	No metric derivation of the carrier is promoted.
A1-A5 leading set	noNull_energy.py	REPRESENTATION CHANGE, NOT A NEW PHYSICAL OPERATOR	One-sided averaged discretization removing Nyquist null	NO-CHANGE to continuum premises or physics	ALGEBRA-ONLY	Code cannot certify continuum stationarity, mass, or provenance.
A1-A5 leading set	w_alg_verifier_scripts/UDT_H3_STATIC_MASS_BACKREACTION_DISPATCH.md	DERIVE / VERIFY / bounded OBSERVE; CONDITIONAL EH and WORKING/REOPENED carrier	Historical dispatch for EH/minimal-carrier lapse mass route	CONFIRMS conditional M_N^(0)=2E4; native action/carrier/charge OPEN	CONDITIONAL	Dispatch is not a returned verification.
A1-A5 leading set	pre_native_era_census.md	Historical provenance census; SUPERSEDED / CONDITIONS-CHANGED / CLEAN classifications	Pre-native record classification	NO-CHANGE; provenance warning only	OUT-OF-SCOPE	Underlying unenumerated records were not read or inferred.
A1-A5 leading set	macro_spine_provenance_2026-07-06.md	Bounded READ-ONLY census; NO HARD QUARANTINE; scope caveats control	Historical macro-spine classification	OUT-OF-SCOPE for Stage-I action/mass conclusions	OUT-OF-SCOPE	No macro claim is banked or used to fill action premises.
A6 archive	archive/native_action_chat_2026-07-14_15/README.md	A6 README authority rule: archive is quarantined historical evidence, not live foundation/canon; in-file ledgers/banners travel; scripts/out certify encoded algebra only	Archive inventory and authority/quarantine rule	Controls all A6 rows; historical work is evidence to check, never authority to inherit	OUT-OF-SCOPE	Later owner rulings govern prospectively; no A6 item banks premises, physics, boundary, carrier, or canon.
A6 archive	archive/native_action_chat_2026-07-14_15/UDT_BOOTSTRAP_BACKGROUND_CARRIER_COUPLING_DERIVATION_RESULTS.md	PROVISIONAL / CONDITIONAL C2 background; verification OPEN; not banked; A6 README quarantine governs	Background-induced carrier coefficients and scale lead	NO-CHANGE: branch, carrier, scale, and mass stay OPEN	CONDITIONAL	Historical result checked under its banner; no banking or silent strengthening.
A6 archive	archive/native_action_chat_2026-07-14_15/UDT_BOOTSTRAP_BACKGROUND_CARRIER_COUPLING_MAP.md	PROVISIONAL / CONDITIONAL C2 background; verification OPEN; not banked; A6 README quarantine governs	Frozen preregistration/map for background-induced carrier coefficients and scale lead	NO-CHANGE: branch, carrier, scale, and mass stay OPEN	OPEN	MAP premises, gates, and stop rules retained; no result authority.
A6 archive	archive/native_action_chat_2026-07-14_15/UDT_BOOTSTRAP_BACKGROUND_CARRIER_COUPLING_VERIFY_DISPATCH.md	PROVISIONAL / CONDITIONAL C2 background; verification OPEN; not banked; A6 README quarantine governs	Historical verification instructions for background-induced carrier coefficients and scale lead	NO-CHANGE: branch, carrier, scale, and mass stay OPEN	OUT-OF-SCOPE	Dispatch is requested workflow, not returned evidence; repository/live-arm instructions were not followed.
A6 archive	archive/native_action_chat_2026-07-14_15/UDT_COMMON_SCALE_MATTER_EMERGENCE_DERIVATION_RESULTS.md	CONDITIONAL conformal branch; carrier/coupling OPEN; A6 README quarantine governs	CSN trace/scale-weight sieve	NO-CHANGE: class restriction does not derive carrier/source	CONDITIONAL	Historical result checked under its banner; no banking or silent strengthening.
A6 archive	archive/native_action_chat_2026-07-14_15/UDT_COMMON_SCALE_MATTER_EMERGENCE_MAP.md	CONDITIONAL conformal branch; carrier/coupling OPEN; A6 README quarantine governs	Frozen preregistration/map for csn trace/scale-weight sieve	NO-CHANGE: class restriction does not derive carrier/source	OPEN	MAP premises, gates, and stop rules retained; no result authority.
A6 archive	archive/native_action_chat_2026-07-14_15/UDT_COMMON_SCALE_MATTER_EMERGENCE_VERIFY_DISPATCH.md	CONDITIONAL conformal branch; carrier/coupling OPEN; A6 README quarantine governs	Historical verification instructions for csn trace/scale-weight sieve	NO-CHANGE: class restriction does not derive carrier/source	OUT-OF-SCOPE	Dispatch is requested workflow, not returned evidence; repository/live-arm instructions were not followed.
A6 archive	archive/native_action_chat_2026-07-14_15/UDT_CSN_BOUNDARY_CHARGE_SELECTION_DERIVATION_RESULTS.md	PROVISIONAL; boundary function/normalization OPEN; A6 README quarantine governs	Inverse-X boundary-charge scaling lead	NO-CHANGE: generator/normalization action-dependent	CONDITIONAL	Historical result checked under its banner; no banking or silent strengthening.
A6 archive	archive/native_action_chat_2026-07-14_15/UDT_CSN_BOUNDARY_CHARGE_SELECTION_MAP.md	PROVISIONAL; boundary function/normalization OPEN; A6 README quarantine governs	Frozen preregistration/map for inverse-x boundary-charge scaling lead	NO-CHANGE: generator/normalization action-dependent	OPEN	MAP premises, gates, and stop rules retained; no result authority.
A6 archive	archive/native_action_chat_2026-07-14_15/UDT_CSN_BOUNDARY_CHARGE_SELECTION_VERIFY_DISPATCH.md	PROVISIONAL; boundary function/normalization OPEN; A6 README quarantine governs	Historical verification instructions for inverse-x boundary-charge scaling lead	NO-CHANGE: generator/normalization action-dependent	OUT-OF-SCOPE	Dispatch is requested workflow, not returned evidence; repository/live-arm instructions were not followed.
A6 archive	archive/native_action_chat_2026-07-14_15/UDT_CSN_DIMENSIONLESS_ACTION_REFERENCE_BRANCH_DERIVATION_RESULTS.md	PROVISIONAL conditional reference branch; A6 README quarantine governs	C2 reference and conditional F2 sieve	NO-CHANGE: rank-one/area selector not forced	CONDITIONAL	Historical result checked under its banner; no banking or silent strengthening.
A6 archive	archive/native_action_chat_2026-07-14_15/UDT_CSN_DIMENSIONLESS_ACTION_REFERENCE_BRANCH_MAP.md	PROVISIONAL conditional reference branch; A6 README quarantine governs	Frozen preregistration/map for c2 reference and conditional f2 sieve	NO-CHANGE: rank-one/area selector not forced	OPEN	MAP premises, gates, and stop rules retained; no result authority.
A6 archive	archive/native_action_chat_2026-07-14_15/UDT_CSN_DIMENSIONLESS_ACTION_REFERENCE_BRANCH_VERIFY_DISPATCH.md	PROVISIONAL conditional reference branch; A6 README quarantine governs	Historical verification instructions for c2 reference and conditional f2 sieve	NO-CHANGE: rank-one/area selector not forced	OUT-OF-SCOPE	Dispatch is requested workflow, not returned evidence; repository/live-arm instructions were not followed.
A6 archive	archive/native_action_chat_2026-07-14_15/UDT_CSN_GLOBAL_SCALE_SELECTION_DERIVATION_RESULTS.md	PROVISIONAL; absolute scale OPEN; A6 README quarantine governs	Common-scale modulus/global datum	NO-CHANGE: covariance does not select X	CONDITIONAL	Historical result checked under its banner; no banking or silent strengthening.
A6 archive	archive/native_action_chat_2026-07-14_15/UDT_CSN_GLOBAL_SCALE_SELECTION_MAP.md	PROVISIONAL; absolute scale OPEN; A6 README quarantine governs	Frozen preregistration/map for common-scale modulus/global datum	NO-CHANGE: covariance does not select X	OPEN	MAP premises, gates, and stop rules retained; no result authority.
A6 archive	archive/native_action_chat_2026-07-14_15/UDT_CSN_GLOBAL_SCALE_SELECTION_VERIFY_DISPATCH.md	PROVISIONAL; absolute scale OPEN; A6 README quarantine governs	Historical verification instructions for common-scale modulus/global datum	NO-CHANGE: covariance does not select X	OUT-OF-SCOPE	Dispatch is requested workflow, not returned evidence; repository/live-arm instructions were not followed.
A6 archive	archive/native_action_chat_2026-07-14_15/UDT_CSN_ONE_MASS_GLOBAL_CALIBRATION_DERIVATION_RESULTS.md	PROVISIONAL conditional theorem; A6 README quarantine governs	One-mass calibration bridge	NO-CHANGE: action/charge/branch must precede calibration	CONDITIONAL	Historical result checked under its banner; no banking or silent strengthening.
