id	stale_or_invalid_reading	current_ruling	status	evidence_path
R01	physical_distance_may_be_negative	physical_distance_is_nonnegative_while_local_phi_may_be_signed	CORRECTED	udt_premise_reset_audit_2026-07-19/OWNER_MEANING_LEDGER.tsv
R02	phi_is_observer_rapidity	no_identity_between_metric_phi_and_observer_rapidity_is_derived	CORRECTED	udt_frame_bivector_equivariance_audit_2026-07-23/AUDIT_REPORT.md
R03	WRL_is_the_complete_frame_metric	WRL_is_a_conditional_static_spherical_one_function_slice	CORRECTED	udt_metric_pure_frame_rederivation_2026-07-23/AUDIT_REPORT.md
R04	Xmax_is_a_supplied_frame_transformation_constant	global_frame_shared_Xmax_is_an_open_output_of_complete_metric_bootstrap	CORRECTED	udt_premise_reset_audit_2026-07-19/OWNER_MEANING_LEDGER.tsv
R05	local_fundamental_c_varies	metric_normalized_local_null_speed_uses_measured_c_E_anchor_and_endpoint_language_is_relational	CORRECTED	UDT_SCIENTIFIC_FRONTIER_2026-07-19.md
R06	copresence_means_instantaneous_information	copresence_is_whole_solution_membership_not_zero_duration_signaling	CORRECTED	copresence_causal_accessibility_selector_2026-07-19/STATUS_LEDGER.tsv
R07	Kato_transport_is_physical_time	Kato_is_geometric_transport_of_moving_subbundles	CORRECTED	udt_finite_cell_cartan_transport_atlas_2026-07-23/AUDIT_REPORT.md
R08	spacelike_dphi_has_observer_boost_rotation_meaning	spacelike_dphi_has_a_real_SO_plus_1_2_symmetric_pair_not_an_observer_split	CORRECTED	udt_finite_cell_cartan_transport_atlas_2026-07-23/CONNECTION_BLOCK_ATLAS.tsv
R09	the_3plus3_continues_semisimply_through_null_or_zero	null_gives_a_nilpotent_filtration_and_zero_has_no_intrinsic_reduction	CORRECTED	udt_finite_cell_cartan_transport_atlas_2026-07-23/CAUSAL_TRANSITION_ATLAS.tsv
R10	the_12_completion_rows_are_12_solved_universes	they_are_registered_overlapping_completion_families_with_zero_complete_onshell_g_phi_solutions	CORRECTED	udt_finite_cell_cartan_transport_atlas_2026-07-23/DERIVATION_RESULT.json
R11	the_celestial_null_S2_is_the_particle_carrier	it_is_a_conditional_fiber_without_selected_section_target_transport_action_or_boundary	CORRECTED	native_hopfion_topology_audit_2026-07-19/AUDIT_REPORT.md
R12	Hopf_topology_sets_particle_radius	the_static_radius_inherits_the_conditional_coefficient_ruler_sqrt_kappa_over_xi	CORRECTED	matter_bootstrap_dimensional_inventory_2026-07-20/STATUS_LEDGER.tsv
R13	GR_comparison_readout_is_native_UDT	GR_structures_are_reference_only_unless_they_enter_the_tested_action_variation_EOM_or_coupling	CORRECTED	UDT_GR_TO_UDT_SELECTOR_AUDIT_2026-07-18.md
R14	static_finite_box_stability_is_unconditional_matter	stability_is_settled_only_inside_recorded_carrier_action_coefficient_boundary_box_and_operator_premises	CORRECTED	stability_branch_follow_256_DECISION.md
R15	the_metric_has_selected_a_finite_cell_action_source_or_scale	no_branch_action_source_boundary_representative_or_scale_is_selected	CORRECTED	udt_scientific_consolidation_checkpoint_2026-07-23/CURRENT_STATUS_LEDGER.tsv
