family_id	reducibility_class	central_block_status	gradient_orbit_dimension	gradient_orbit_signature	numeric_status	configurations
F01_RICCI	MULTIPLE_CENTRAL_2PLUS2	MULTIPLE_CENTRAL_2PLUS2	0	ZERO_SEED	NUMERIC_CLASSIFIED	539
F01_RICCI	MULTIPLE_CENTRAL_2PLUS2	MULTIPLE_CENTRAL_2PLUS2	4	N1_P3_Z0	NUMERIC_CLASSIFIED	539
F01_RICCI	PROPER_ALGEBRA_NONCENTRAL_AMBIGUITY	NO_NONTRIVIAL_CENTRAL_BLOCK	0	ZERO_SEED	NUMERIC_CLASSIFIED	384
F01_RICCI	PROPER_ALGEBRA_NONCENTRAL_AMBIGUITY	NO_NONTRIVIAL_CENTRAL_BLOCK	1	N0_P1_Z0	NUMERIC_CLASSIFIED	288
F01_RICCI	PROPER_ALGEBRA_NONCENTRAL_AMBIGUITY	NO_NONTRIVIAL_CENTRAL_BLOCK	1	N1_P0_Z0	NUMERIC_CLASSIFIED	96
F01_RICCI	PROPER_ALGEBRA_NO_CENTRAL_2PLUS2	COMPLEX_JORDAN_OR_NUMERIC_OBSTRUCTION	0	ZERO_SEED	NUMERIC_CLASSIFIED	2149
F01_RICCI	PROPER_ALGEBRA_NO_CENTRAL_2PLUS2	COMPLEX_JORDAN_OR_NUMERIC_OBSTRUCTION	4	N1_P3_Z0	NUMERIC_CLASSIFIED	2149
F02_PHI_HESSIAN	MULTIPLE_CENTRAL_2PLUS2	MULTIPLE_CENTRAL_2PLUS2	4	N1_P3_Z0	NUMERIC_CLASSIFIED	69
F02_PHI_HESSIAN	PROPER_ALGEBRA_NONCENTRAL_AMBIGUITY	NO_NONTRIVIAL_CENTRAL_BLOCK	0	ZERO_SEED	NUMERIC_CLASSIFIED	3072
F02_PHI_HESSIAN	PROPER_ALGEBRA_NO_CENTRAL_2PLUS2	COMPLEX_JORDAN_OR_NUMERIC_OBSTRUCTION	4	N1_P3_Z0	NUMERIC_CLASSIFIED	3003
F03_PHI_DYAD	PROPER_ALGEBRA_NONCENTRAL_AMBIGUITY	CENTRAL_BLOCKS_NO_2PLUS2	1	N0_P1_Z0	NUMERIC_CLASSIFIED	2304
F03_PHI_DYAD	PROPER_ALGEBRA_NONCENTRAL_AMBIGUITY	CENTRAL_BLOCKS_NO_2PLUS2	1	N1_P0_Z0	NUMERIC_CLASSIFIED	768
F03_PHI_DYAD	PROPER_ALGEBRA_NONCENTRAL_AMBIGUITY	NO_NONTRIVIAL_CENTRAL_BLOCK	0	ZERO_SEED	NUMERIC_CLASSIFIED	3072
F04_RICCI_HESSIAN	FULL_MATRIX_ALGEBRA_IRREDUCIBLE	NO_NONTRIVIAL_CENTRAL_BLOCK	4	N1_P3_Z0	NUMERIC_CLASSIFIED	2688
F04_RICCI_HESSIAN	MULTIPLE_CENTRAL_2PLUS2	MULTIPLE_CENTRAL_2PLUS2	0	ZERO_SEED	NUMERIC_CLASSIFIED	539
F04_RICCI_HESSIAN	PROPER_ALGEBRA_NONCENTRAL_AMBIGUITY	NO_NONTRIVIAL_CENTRAL_BLOCK	0	ZERO_SEED	NUMERIC_CLASSIFIED	384
F04_RICCI_HESSIAN	PROPER_ALGEBRA_NO_CENTRAL_2PLUS2	COMPLEX_JORDAN_OR_NUMERIC_OBSTRUCTION	0	ZERO_SEED	NUMERIC_CLASSIFIED	2149
F04_RICCI_HESSIAN	PROPER_ALGEBRA_NO_CENTRAL_2PLUS2	COMPLEX_JORDAN_OR_NUMERIC_OBSTRUCTION	4	N1_P3_Z0	NUMERIC_CLASSIFIED	384
F05_RICCI_HESSIAN_DYAD	FULL_MATRIX_ALGEBRA_IRREDUCIBLE	NO_NONTRIVIAL_CENTRAL_BLOCK	4	N1_P3_Z0	NUMERIC_CLASSIFIED	3072
F05_RICCI_HESSIAN_DYAD	MULTIPLE_CENTRAL_2PLUS2	MULTIPLE_CENTRAL_2PLUS2	0	ZERO_SEED	NUMERIC_CLASSIFIED	539
F05_RICCI_HESSIAN_DYAD	PROPER_ALGEBRA_NONCENTRAL_AMBIGUITY	NO_NONTRIVIAL_CENTRAL_BLOCK	0	ZERO_SEED	NUMERIC_CLASSIFIED	384
F05_RICCI_HESSIAN_DYAD	PROPER_ALGEBRA_NO_CENTRAL_2PLUS2	COMPLEX_JORDAN_OR_NUMERIC_OBSTRUCTION	0	ZERO_SEED	NUMERIC_CLASSIFIED	2149
F06_RIEMANN_GENERATORS	FULL_MATRIX_ALGEBRA_IRREDUCIBLE	NO_NONTRIVIAL_CENTRAL_BLOCK	0	ZERO_SEED	NUMERIC_CLASSIFIED	2688
F06_RIEMANN_GENERATORS	FULL_MATRIX_ALGEBRA_IRREDUCIBLE	NO_NONTRIVIAL_CENTRAL_BLOCK	4	N1_P3_Z0	NUMERIC_CLASSIFIED	2688
F06_RIEMANN_GENERATORS	PROPER_ALGEBRA_NONCENTRAL_AMBIGUITY	NO_NONTRIVIAL_CENTRAL_BLOCK	0	ZERO_SEED	NUMERIC_CLASSIFIED	384
F06_RIEMANN_GENERATORS	PROPER_ALGEBRA_NONCENTRAL_AMBIGUITY	NO_NONTRIVIAL_CENTRAL_BLOCK	1	N0_P1_Z0	NUMERIC_CLASSIFIED	288
F06_RIEMANN_GENERATORS	PROPER_ALGEBRA_NONCENTRAL_AMBIGUITY	NO_NONTRIVIAL_CENTRAL_BLOCK	1	N1_P0_Z0	NUMERIC_CLASSIFIED	96
F07_WEYL_GENERATORS	FULL_MATRIX_ALGEBRA_IRREDUCIBLE	NO_NONTRIVIAL_CENTRAL_BLOCK	0	ZERO_SEED	NUMERIC_CLASSIFIED	2688
F07_WEYL_GENERATORS	FULL_MATRIX_ALGEBRA_IRREDUCIBLE	NO_NONTRIVIAL_CENTRAL_BLOCK	4	N1_P3_Z0	NUMERIC_CLASSIFIED	2688
F07_WEYL_GENERATORS	PROPER_ALGEBRA_NONCENTRAL_AMBIGUITY	NO_NONTRIVIAL_CENTRAL_BLOCK	0	ZERO_SEED	NUMERIC_CLASSIFIED	384
F07_WEYL_GENERATORS	PROPER_ALGEBRA_NONCENTRAL_AMBIGUITY	NO_NONTRIVIAL_CENTRAL_BLOCK	1	N0_P1_Z0	NUMERIC_CLASSIFIED	288
F07_WEYL_GENERATORS	PROPER_ALGEBRA_NONCENTRAL_AMBIGUITY	NO_NONTRIVIAL_CENTRAL_BLOCK	1	N1_P0_Z0	NUMERIC_CLASSIFIED	96
F08_FULL_RIEMANN_JOINT	FULL_MATRIX_ALGEBRA_IRREDUCIBLE	NO_NONTRIVIAL_CENTRAL_BLOCK	0	ZERO_SEED	NUMERIC_CLASSIFIED	2688
F08_FULL_RIEMANN_JOINT	FULL_MATRIX_ALGEBRA_IRREDUCIBLE	NO_NONTRIVIAL_CENTRAL_BLOCK	4	N1_P3_Z0	NUMERIC_CLASSIFIED	3072
F08_FULL_RIEMANN_JOINT	PROPER_ALGEBRA_NONCENTRAL_AMBIGUITY	NO_NONTRIVIAL_CENTRAL_BLOCK	0	ZERO_SEED	NUMERIC_CLASSIFIED	384
F09_FULL_WEYL_JOINT	FULL_MATRIX_ALGEBRA_IRREDUCIBLE	NO_NONTRIVIAL_CENTRAL_BLOCK	0	ZERO_SEED	NUMERIC_CLASSIFIED	2688
F09_FULL_WEYL_JOINT	FULL_MATRIX_ALGEBRA_IRREDUCIBLE	NO_NONTRIVIAL_CENTRAL_BLOCK	4	N1_P3_Z0	NUMERIC_CLASSIFIED	3072
F09_FULL_WEYL_JOINT	PROPER_ALGEBRA_NONCENTRAL_AMBIGUITY	NO_NONTRIVIAL_CENTRAL_BLOCK	0	ZERO_SEED	NUMERIC_CLASSIFIED	384
